pdb_id	delta_G	Avg_Bfactor_Total	Avg_Bfactor_Interface
2k42	-42.56	0.0	0.0
2vsm	-42.56	14.6	13.07
2k2u	-36.78	0.0	0.0
2efh	-42.49	34.7	26.58
2rgn	-42.49	144.54	145.13
3c66	-31.52	54.75	59.94
3d2u	-47.93	42.02	40.43
3bp8	-47.85	44.24	43.11
3dvm	-47.74	58.11	66.96
3c4p	-47.7	23.66	22.04
3cqx	-30.52	34.03	35.12
3c4o	-47.59	22.03	20.11
3e2h	-30.46	67.8	64.04
3cx6	-30.36	40.74	39.08
2qjb	-47.43	81.85	81.65
2jtt	-30.31	0.0	0.0
2vlr	-30.31	41.98	35.2
3c09	-42.05	51.09	43.98
2vyr	-41.99	28.25	23.81
3ejj	-36.2	67.35	38.6
3bpn	-36.03	45.79	42.73
3cqc	-47.93	77.32	54.26
3cqg	-47.93	79.76	67.62
2k5b	-30.81	10.0	10.0
2ve7	-30.81	65.72	66.52
2vlj	-30.16	47.86	43.51
3beg	-41.67	117.65	113.11
3cx7	-35.87	42.87	42.25
3bpl	-35.69	37.91	26.77
3chw	-41.35	22.39	21.2
2efd	-46.44	74.66	61.78
3c9a	-46.31	22.41	23.06
2vay	-46.25	34.43	35.12
3d7t	-23.71	108.09	85.64
2v5q	-40.8	34.3	31.71
3crk	-29.0	53.2	73.02
3dbl	-28.87	71.15	62.47
3dvg	-46.01	64.15	60.62
2qna	-40.42	31.25	30.86
3bik	-29.09	67.94	63.62
3bs5	-40.15	31.99	31.14
3dvn	-40.16	78.85	75.12
3bh6	-40.08	35.88	32.5
3bx1	-33.6	33.57	29.09
3d1m	-33.6	33.07	31.28
3b4v	-60.06	40.24	32.31
3fju	-50.2	10.4	9.18
2oul	-50.05	22.69	19.47
2ody	-49.91	30.82	30.46
3bg4	-42.6	25.98	24.27
3ixe	-33.9	14.08	10.37
3iol	-37.68	15.8	12.41
2w84	-40.84	0.0	0.0
3a6b	-39.76	18.57	15.63
2vxq	-56.84	28.68	25.79
3da7	-39.3	37.74	32.91
3k2u	-55.91	66.83	57.3
2w9e	-57.08	40.71	39.05
3fp6	-74.2	12.98	8.56
2wjv	-38.24	21.85	23.49
3huj	-38.24	42.72	40.27
3inb	-38.24	159.04	154.33
2kbw	-37.07	0.0	0.0
2khs	-36.78	0.0	0.0
2wel	-37.23	19.95	21.57
3dxa	-37.23	63.93	63.94
2w83	-36.4	31.44	25.27
3g3a	-36.34	25.87	23.04
3d3v	-36.17	63.82	61.01
3gty	-53.24	49.99	58.79
2zvk	-36.52	32.47	28.51
3d39	-35.35	66.56	64.44
2k79	-18.12	1.07	1.19
2k7a	-18.12	1.0	1.0
3idc	-52.64	57.32	52.81
2wp0	-34.43	47.94	38.51
3knb	-34.4	26.38	25.58
3gd1	-34.3	67.4	71.62
3h3g	-34.27	44.85	43.96
3ew3	-50.92	107.93	91.69
2wy2	-16.47	0.0	0.0
3hcu	-33.27	79.3	74.28
3hct	-33.27	40.77	33.57
3kpr	-33.24	36.45	34.91
2zvo	-33.08	50.61	38.75
2zvn	-33.08	77.64	63.68
2k8c	-15.67	1.35	1.47
2k8b	-15.67	1.44	1.43
3htu	-32.79	32.05	23.23
3g6j	-49.78	41.31	21.81
2wo2	-28.35	49.88	39.29
3k8p	-45.66	61.29	53.49
3hi1	-45.38	109.2	88.55
3idb	-45.36	23.81	20.13
3dco	-28.17	39.15	40.01
3eiq	-39.72	55.84	52.75
3ifq	-39.59	91.77	93.18
2knb	-28.3	0.67	1.0
2wii	-28.3	67.95	58.88
3hh2	-45.15	24.86	19.39
3h2u	-27.97	64.03	53.47
3f1p	-22.38	18.52	20.72
3gni	-45.21	28.59	27.48
3fku	-56.43	87.59	81.96
3ff8	-22.18	32.09	23.8
3jsv	-22.16	82.3	58.62
2wqz	-39.27	72.52	71.26
3hpw	-27.89	13.17	13.29
2w19	-39.12	29.98	31.13
2wfx	-44.83	74.54	73.34
2wub	-38.95	71.03	61.03
3g6d	-61.78	18.71	14.57
3h6g	-27.53	89.77	0.0
2wuc	-38.77	38.26	36.4
3hg0	-44.5	50.04	39.07
3di2	-27.08	45.14	38.57
3g9v	-68.49	39.42	33.46
3jrm	-68.49	38.68	37.01
3kv4	-34.25	25.68	21.47
2vxs	-49.53	43.64	38.18
3gc3	-32.41	24.3	23.57
3eoa	-49.41	31.41	25.25
3eob	-49.41	97.32	88.08
2wo3	-32.18	43.67	40.72
2k8f	-31.78	0.0	0.0
2kc8	-38.24	0.0	0.0
3ff7	-21.11	28.15	23.43
3gxu	-38.2	20.57	17.52
2wby	-43.94	28.39	36.43
3doe	-43.94	37.88	36.79
3g7z	-61.07	25.75	26.22
3fhc	-43.75	42.37	45.75
2w2x	-26.6	64.96	63.3
3di3	-43.82	81.89	71.78
3h8k	-43.82	33.48	30.74
3h2v	-26.57	55.74	54.94
3ho5	-38.0	96.76	88.4
3gsn	-26.01	52.58	46.4
3jvf	-37.3	110.29	101.89
3he7	-37.26	44.17	43.72
3etb	-60.15	13.5	11.76
3gqi	-42.7	80.48	78.12
3g3b	-42.63	44.87	42.08
3g9w	-25.36	32.08	34.98
2w8b	-42.35	18.98	16.7
3jse	-65.77	57.2	56.2
3gj8	-31.52	35.65	33.94
3idx	-47.91	110.4	102.76
3idy	-47.91	150.89	146.48
2zxx	-47.7	57.35	52.75
3hi6	-30.41	21.41	18.83
3it8	-59.17	74.16	59.22
3hae	-41.88	2.0	2.0
3gj5	-24.7	43.27	44.92
3f7p	-24.6	82.53	93.15
3gj3	-24.6	35.32	32.5
3kps	-24.6	36.97	34.75
2w81	-47.93	42.43	38.99
2w80	-47.93	40.48	39.06
3h42	-65.06	46.22	31.93
3gj7	-30.81	54.97	54.01
3kls	-47.14	156.44	173.35
3a67	-47.09	20.05	17.08
2ka6	-41.57	0.0	0.0
2k2s	-41.53	0.86	0.91
2wbj	-18.54	63.91	60.96
2ka4	-41.3	6.0	6.0
3ejh	-30.26	52.53	44.88
3gb8	-29.61	44.54	22.19
3gj6	-29.61	88.25	142.16
3gj4	-29.57	50.99	51.74
3gjf	-41.1	32.74	27.77
2kj4	-41.02	0.0	0.0
3he6	-40.87	48.88	48.38
3a6c	-46.5	16.9	14.33
2wg3	-40.71	19.99	20.14
2wg4	-40.7	66.52	60.99
2wwx	-40.54	13.53	10.53
3jtl	-63.67	40.65	39.84
3dmm	-29.03	56.04	46.82
2k3u	-46.09	12.51	12.87
2kde	-28.83	7.9	9.03
3ffc	-28.83	39.01	33.88
2wss	-40.51	95.13	101.06
2wx0	-29.09	43.89	32.2
3ia3	-40.13	83.08	74.33
3bzd	-22.93	18.22	14.75
2kgx	-28.8	10.0	10.0
3gmw	-58.8	26.12	24.19
2vxt	-55.36	21.81	20.21
3fxd	-43.94	30.95	34.19
3fsh	-47.38	62.82	52.6
3h8d	-40.51	31.95	27.93
3e1z	-59.61	25.97	24.09
3h6s	-57.63	31.83	25.1
3fii	-49.78	39.3	44.45
3fie	-51.37	22.38	26.61
3k9m	-49.65	42.44	43.32
3e2l	-58.0	29.51	25.14
3e2k	-58.0	35.02	32.45
3g7a	-45.92	37.74	37.17
3f50	-45.92	83.53	80.06
3n00	-39.72	49.47	46.33
3ixt	-59.68	58.83	55.34
3mc0	-39.4	36.6	29.94
3fpu	-56.62	31.86	28.54
3iu3	-56.24	87.22	77.92
3laq	-55.76	33.82	32.56
2wpt	-39.95	26.11	19.45
3lk2	-39.95	21.48	20.07
3nfp	-54.61	69.73	57.58
3ogo	-54.19	34.88	35.37
3l9j	-54.04	28.26	24.29
3mca	-36.58	67.74	53.66
3kuc	-36.27	26.21	21.46
3o6q	-53.29	62.11	63.64
2kwj	-35.96	0.0	0.0
3lev	-52.64	106.58	74.61
2wp3	-34.82	15.55	15.46
3n85	-51.95	74.66	64.48
3mxw	-52.25	25.26	24.94
2wwk	-33.63	8.76	9.13
2ki4	-47.93	0.31	0.55
3oky	-33.6	50.27	42.04
3ma2	-33.19	24.81	21.68
3lk4	-50.36	48.83	43.04
3lqa	-33.08	101.83	95.62
3kud	-32.93	39.46	38.74
3m0a	-32.93	82.86	61.34
3osl	-49.91	37.68	33.34
3k75	-39.72	51.86	41.02
3kz1	-39.72	71.51	65.45
2xb6	-39.61	24.38	25.59
3pl6	-27.65	57.65	53.02
3k3q	-56.12	41.85	32.43
3h3p	-44.83	32.28	30.2
2kxh	-27.7	0.0	0.0
3k6g	-44.42	31.0	26.88
3oak	-38.65	62.61	64.94
2x1w	-44.5	69.81	65.84
2x1x	-44.5	53.83	56.34
2l0f	-21.49	0.0	0.0
3m63	-38.57	42.9	43.5
3l5n	-38.5	172.26	134.59
3m18	-55.62	29.21	24.86
2kwi	-38.44	0.0	0.0
2wh6	-44.2	27.26	30.95
2rr3	-32.41	0.0	0.0
3mv7	-32.29	40.47	32.63
3o4o	-32.12	125.16	103.48
3onw	-49.3	62.5	66.15
2kwk	-32.18	0.0	0.0
3mjh	-32.08	36.07	37.4
3l95	-49.1	31.86	29.72
3mhp	-31.74	16.21	12.87
3a4s	-31.69	42.69	45.19
3ohm	-38.24	76.5	69.1
3hug	-43.94	46.68	45.48
3nh7	-43.94	64.17	58.06
3ncc	-3.85	39.96	34.61
3kyi	-20.9	85.67	88.85
3aaa	-43.82	26.77	21.81
2xdf	-26.7	362.34	625.71
3o6b	-37.92	114.14	115.11
2wd5	-43.71	49.11	42.9
3mzw	-60.83	57.08	45.74
3ouw	-43.6	79.33	72.27
2ktf	-26.47	0.0	0.0
3aa6	-37.59	23.72	20.03
3l5x	-54.62	48.57	44.63
3kxf	-26.08	24.94	21.34
3l89	-37.37	58.27	61.46
3nvq	-37.34	66.65	46.19
3lhp	-60.23	50.34	47.83
3kj2	-49.65	44.27	31.85
3kj1	-49.65	42.41	32.18
3kj0	-49.65	21.57	19.79
2wvw	-32.53	0.0	0.0
3npz	-31.4	60.79	49.79
3n06	-14.32	41.7	35.74
2l14	-31.44	0.0	0.0
2xra	-48.41	36.04	28.85
3m9d	-31.21	153.98	178.04
3oiq	-30.94	56.54	48.56
2xgy	-25.82	33.15	30.35
2xqr	-42.86	31.48	24.15
3mv8	-25.46	31.16	22.19
2xa0	-42.54	40.12	40.31
3oux	-42.56	66.2	62.57
2wy8	-36.78	22.71	21.39
3kw5	-36.61	123.05	119.75
3jza	-65.77	22.01	17.97
2xtj	-47.7	34.26	29.85
2x9a	-30.57	59.49	52.28
3lb6	-64.66	55.99	44.43
3mzg	-13.15	40.59	32.49
3ajb	-42.18	53.05	63.45
3lbx	-36.52	29.65	26.94
3h7b	-25.04	25.4	25.35
2kwo	-24.71	0.0	0.0
2kri	-24.76	10.0	10.0
3lh2	-58.95	57.21	50.68
3im4	-41.77	53.54	57.72
3kr3	-58.85	26.28	19.59
3aa0	-30.81	24.97	21.53
3n0p	-13.08	34.06	26.51
3h9h	-30.07	35.98	35.14
3ol2	-30.02	74.8	71.54
3mv9	-29.91	47.95	37.47
2kvq	-24.55	0.0	0.0
2kwu	-24.5	0.0	0.0
2xqb	-58.7	51.32	42.11
3l5w	-58.7	49.73	44.85
2kqs	-24.3	3.48	0.97
3mj7	-30.26	67.12	58.78
2x2d	-29.76	33.07	29.92
3o9w	-29.72	47.47	39.81
2l0t	-23.94	1.45	1.31
2wy3	-40.98	32.76	33.54
3lb8	-23.86	75.5	80.49
2kyg	-40.95	0.01	0.01
3me2	-58.03	58.31	64.73
3o8x	-35.17	41.36	33.72
3lk3	-46.93	34.54	30.65
3ngb	-46.31	115.09	105.92
3k2m	-46.55	26.86	26.4
3egg	-46.01	25.62	25.18
3kbt	-45.84	33.25	28.82
3gs2	-45.87	31.08	25.19
3nvn	-45.81	46.64	34.77
3orv	-28.69	28.87	26.57
3ixa	-28.59	23.05	21.75
3ixs	-40.22	35.06	32.25
2kwv	-23.09	0.0	0.0
3ncb	-5.89	39.09	33.87
3k1r	-51.37	25.26	22.41
3mac	-38.24	53.47	49.39
2wus	-30.26	46.61	25.86
3lms	-50.92	55.14	48.05
3l33	-39.19	44.29	42.73
2xtt	-61.07	9.87	7.91
3kz0	-37.46	48.14	37.69
3ssb	-54.35	27.58	25.83
2yj1	-45.01	32.62	34.0
3qbr	-42.63	70.44	66.27
3zrz	-60.06	22.38	20.94
2xqw	-38.5	53.37	47.92
2ybr	-55.24	32.89	24.95
3p71	-36.64	43.66	38.77
3p11	-53.7	159.53	136.63
3alz	-35.87	271.54	266.06
3au4	-35.82	39.63	51.37
3tac	-35.73	53.77	47.98
3ry6	-18.84	34.48	43.27
3oed	-35.96	77.91	73.35
3ona	-35.2	76.56	63.37
3syn	-35.51	30.16	22.73
2y8s	-51.4	33.01	35.38
3qbt	-34.51	39.82	39.26
3n4i	-51.13	19.58	19.63
3qhy	-68.26	20.64	17.12
3rt0	-33.79	36.27	34.23
3r1g	-50.72	38.31	36.98
3uc0	-50.72	58.61	50.07
3noc	-50.36	62.38	64.48
3o5t	-33.24	23.92	22.88
3qq8	-33.24	37.91	30.61
3p0y	-49.75	23.1	18.6
3p6z	-32.59	26.76	25.87
3sdc	-28.37	63.0	61.75
2kxw	-45.66	0.0	0.0
3qc8	-28.26	46.69	44.67
2xze	-39.65	28.2	26.45
3qlu	-45.43	46.21	42.86
2xbb	-28.3	48.92	48.41
3rbb	-45.15	48.1	45.65
2l2l	-45.13	0.0	0.0
3onl	-28.09	38.28	36.24
3qib	-27.76	54.82	46.48
3oj2	-39.3	48.07	43.59
3ojm	-39.3	24.81	21.84
3qml	-45.01	67.73	56.78
2y8t	-44.79	22.81	22.78
2xpx	-38.95	46.97	50.75
3zs9	-38.95	34.98	34.75
3rgv	-27.53	58.97	50.86
3t4a	-27.24	67.19	49.52
3zwl	-38.79	39.86	43.6
3b08	-27.19	23.69	24.35
3qeq	-21.52	58.23	43.15
3rea	-38.51	54.48	44.01
3q9n	-44.35	27.48	26.94
3sja	-44.35	76.98	67.45
3vh8	-27.22	28.16	21.92
3sua	-26.96	124.77	93.74
3quy	-38.4	41.2	36.75
3sdy	-51.37	95.25	76.74
3sip	-34.25	92.33	81.1
3tn0	-32.29	81.08	75.16
2l9s	-32.29	0.0	0.0
3owt	-31.98	48.38	54.5
3sf4	-49.2	47.69	44.06
3rdz	-48.92	30.85	23.78
3sgk	-48.73	64.46	54.23
3uaj	-48.73	69.45	62.83
3r4d	-43.78	67.3	60.4
3nog	-43.66	80.11	89.33
3qbq	-37.89	62.14	51.53
3qux	-37.71	46.8	39.87
2kt5	-25.99	0.0	0.0
3r2x	-43.02	167.31	164.02
3qdm	-25.9	50.43	41.91
2y9m	-49.65	46.87	40.82
3rk3	-32.53	99.8	72.71
3scm	-31.5	56.58	54.74
3aon	-48.49	41.53	35.16
3r9a	-31.14	31.68	31.01
2xhe	-48.0	104.75	103.05
3t6g	-42.94	100.47	99.45
3sjd	-42.86	344.87	386.78
3qiu	-37.06	47.34	39.31
3ru8	-42.66	41.07	39.56
3oxu	-25.5	35.61	29.89
3quz	-42.25	43.1	36.63
3t2n	-42.24	47.83	43.53
3q4f	-30.75	267.87	278.29
3rug	-30.57	23.41	22.61
3r0l	-47.64	16.66	16.92
3sdd	-30.34	79.21	75.31
3q3g	-47.39	54.31	45.7
3qs7	-42.23	168.72	149.61
3qdj	-25.1	84.63	74.83
3r85	-25.02	36.74	36.72
3pvm	-42.1	192.8	185.49
2x89	-41.99	60.77	57.89
3uai	-41.93	100.68	99.02
3sda	-30.14	59.74	59.27
3q9u	-47.28	40.02	37.38
3s5l	-30.11	37.46	30.06
3o6f	-30.02	66.65	55.44
3qdg	-29.98	91.49	79.24
3rkd	-46.97	25.46	22.44
3pbp	-41.67	73.99	74.04
3s8v	-41.67	87.12	78.14
3to4	-41.67	71.79	63.89
3zs8	-41.62	111.96	103.38
3rpg	-30.26	38.86	39.39
3t1q	-30.26	39.91	36.1
3uyo	-29.49	25.55	23.94
3rzw	-40.91	38.97	38.29
2y0b	-46.93	56.62	45.93
3rdt	-29.8	52.02	43.08
3rgf	-46.53	44.81	46.95
3zyi	-46.44	58.73	52.11
3zyj	-46.25	102.08	109.14
3sku	-40.84	146.19	139.03
3s2k	-40.79	60.47	58.97
3rzc	-35.07	46.58	42.91
3q1s	-40.73	47.17	35.86
2l1l	-46.55	1.75	2.2
3pp4	-29.42	24.68	19.85
3s4s	-28.86	45.21	37.83
2xns	-34.77	109.15	111.03
3skj	-51.89	55.43	49.59
3pmh	-40.48	68.36	67.84
3qht	-40.45	49.08	44.05
3qwo	-40.3	48.79	39.02
3mj9	-46.21	76.84	69.75
2ld7	-45.87	0.0	0.0
2xzd	-45.76	56.79	45.74
3olm	-23.08	60.73	74.42
3qsk	-40.19	21.19	13.23
3reb	-40.06	131.92	113.43
3opz	-52.18	59.37	60.81
2ygg	-43.94	51.02	49.94
3t04	-41.57	23.04	17.43
3ay4	-41.22	42.32	37.16
3u1j	-43.29	27.65	24.04
2y48	-20.99	77.24	84.16
3b23	-54.21	67.36	66.2
4a1u	-35.77	21.88	22.35
3qtl	-50.48	33.78	42.8
3o40	-50.54	29.88	30.32
3p95	-33.24	18.62	14.6
3pnr	-45.23	63.22	54.41
3zv0	-22.59	59.84	61.81
4a94	-64.55	19.14	15.59
3p92	-46.97	15.23	10.71
3nps	-57.95	22.9	21.57
3o43	-45.92	42.76	43.21
4eah	-51.77	105.72	91.68
3ujg	-34.65	56.45	47.71
4ers	-51.5	43.25	42.15
3v6o	-53.09	37.8	28.2
3ukx	-60.06	32.78	29.95
3ro2	-41.88	53.25	67.83
2lnh	-42.23	0.0	0.0
4di3	-41.22	117.68	126.1
3uzq	-57.57	33.69	29.16
2lxm	-57.63	0.0	0.0
4drb	-39.72	44.95	40.61
4dke	-56.62	67.52	57.0
4dck	-39.5	51.58	39.65
4etq	-55.62	42.6	37.0
3v6b	-37.4	117.1	108.16
4g6m	-54.44	30.74	22.69
3tsr	-89.6	25.42	29.24
4eee	-55.36	60.52	56.67
4b1v	-37.07	20.51	25.45
3thm	-53.97	40.56	31.3
4hkx	-36.78	45.77	37.83
4etp	-36.71	70.0	62.66
4am0	-53.52	44.69	38.95
4g59	-36.4	51.66	48.85
3uzv	-53.46	60.95	58.73
3tkl	-36.34	32.09	34.69
4al8	-53.35	30.55	25.25
4dgi	-36.23	65.41	46.95
4ala	-53.24	31.1	22.7
4auo	-36.52	33.92	29.01
4dbg	-35.87	50.8	48.09
3uz0	-35.68	79.22	70.65
4dt1	-35.68	40.67	31.91
3tei	-35.96	56.91	68.97
3u9d	-35.96	32.81	32.48
4ft4	-35.96	73.98	103.4
4apf	-35.31	115.72	96.91
4eef	-52.64	81.68	92.51
3twi	-35.51	47.03	39.25
4f3f	-52.18	52.02	41.03
3ux9	-52.09	62.17	58.01
3vwj	-34.99	69.63	61.74
2luh	-35.13	0.0	0.0
3vwk	-34.71	72.16	66.85
4aei	-51.92	46.08	35.19
4afz	-51.63	51.1	46.22
4fqi	-51.63	35.85	27.91
4fqj	-51.63	46.24	41.08
4dra	-33.86	44.69	41.64
4fqv	-51.13	244.77	207.74
4ehq	-33.6	21.6	21.84
3u9z	-33.18	29.9	32.93
3tq7	-33.24	69.86	61.12
4dm6	-33.24	33.7	34.41
4dm8	-33.24	40.52	36.34
4dxa	-32.79	41.03	40.1
3ve0	-32.6	145.82	126.23
3qt2	-49.78	80.27	69.16
3vys	-32.66	71.75	77.93
2lpb	-28.51	10.42	10.32
4fqr	-39.95	55.56	58.95
4hcn	-22.67	20.67	15.03
3ul4	-45.34	35.01	25.81
4gg6	-28.21	43.21	35.81
3zuv	-39.56	60.76	63.51
3vfr	-22.4	17.32	13.92
2lvo	-27.93	10.0	10.0
2lkm	-45.21	0.0	0.0
4fzv	-44.95	60.77	43.95
2lvp	-27.81	10.0	10.0
4auq	-22.07	64.05	63.83
3vyr	-39.12	48.6	48.21
2l29	-44.61	1.93	1.85
3rtq	-38.95	43.35	38.2
3zwh	-33.18	23.01	21.17
4drx	-38.87	45.83	41.81
4f9p	-44.66	126.43	115.19
3vhx	-27.53	56.06	49.19
3sri	-38.71	28.89	36.68
3p9w	-44.5	39.92	39.3
3u82	-44.33	193.82	211.78
4ei5	-27.14	100.79	88.31
3v4y	-44.23	36.57	42.36
4g6u	-44.23	47.66	43.63
3rvv	-44.35	33.83	30.31
3tje	-44.35	51.08	41.98
4g6f	-44.35	51.42	45.98
4g8a	-55.54	48.01	39.96
3vfn	-21.27	11.85	8.16
4ffy	-44.2	54.76	45.94
2lox	-38.36	0.0	0.0
4h6j	-38.36	24.13	23.42
3t0y	-38.32	36.61	39.1
3rvw	-44.07	35.34	31.58
3u43	-85.62	16.41	12.23
4f6r	-51.37	60.18	62.14
3tjz	-34.25	72.45	67.92
4eoz	-34.25	86.03	79.46
4giq	-32.42	44.03	28.43
4fqy	-49.41	167.42	156.56
3ul0	-49.3	36.29	30.98
4b93	-32.18	49.34	48.43
4eo5	-49.18	47.67	42.68
4eqa	-49.18	24.72	18.73
4b0m	-32.06	34.04	25.66
3ukz	-49.2	27.48	22.97
4afq	-49.2	26.29	23.55
4aqe	-32.08	24.34	21.97
3uez	-66.22	79.71	70.72
4en3	-31.97	63.32	59.84
3vpj	-48.84	53.23	43.78
4g4s	-31.71	26.8	24.62
3ul1	-48.91	39.74	33.59
3ula	-48.78	87.33	87.64
4f38	-48.73	37.34	33.81
2lqc	-31.61	0.0	0.0
4apx	-31.61	22.39	19.56
3zwz	-43.91	18.63	22.33
4fxg	-43.86	119.38	116.73
3vfv	-26.71	16.74	13.37
4ap2	-43.94	90.17	85.91
4gms	-43.94	104.63	94.73
4g6v	-43.81	39.32	39.12
4fao	-60.87	80.46	78.43
2lp0	-26.56	0.0	0.0
2lvq	-26.52	10.0	10.0
4dn4	-60.83	39.9	34.42
3swp	-43.47	263.02	308.57
3uts	-20.3	60.11	48.2
3qwr	-49.65	100.56	92.82
3qwq	-49.65	63.11	38.63
4ayi	-49.65	54.88	48.35
2ypl	-31.52	66.26	53.63
4dkf	-48.56	63.54	57.16
4etw	-31.44	46.37	62.14
4f48	-31.36	24.98	29.27
2leh	-48.41	0.0	0.0
3u8x	-31.21	24.46	26.44
3sjh	-31.21	18.22	25.52
3tl8	-31.14	63.82	61.76
4e05	-48.16	63.28	57.22
4d9q	-60.06	48.4	39.22
3sjv	-25.73	86.58	65.9
4dh2	-42.73	34.22	28.17
4aye	-31.26	46.83	41.83
2ly4	-36.88	0.0	0.0
4h1l	-25.21	93.12	82.58
4dge	-25.2	18.9	19.71
4d9r	-65.06	53.37	44.09
4g6j	-47.87	36.6	28.64
3uyp	-30.75	37.56	38.21
2y5b	-30.69	21.46	17.11
3vg9	-47.7	87.0	63.42
4day	-47.64	92.95	88.93
4ffz	-36.42	158.04	156.11
4a49	-24.98	53.42	48.31
3vfw	-24.84	15.28	12.02
3qi2	-41.93	65.96	68.63
3qbv	-36.08	54.45	42.61
4hkj	-36.07	83.46	72.74
2lp4	-13.69	0.0	0.0
2lnk	-47.93	1.46	0.79
2lfw	-47.1	0.0	0.0
4gh7	-47.02	58.17	54.06
4elm	-29.81	81.46	63.88
4exp	-35.96	85.97	60.52
3tvm	-41.58	54.25	49.13
3tu3	-41.35	37.29	39.89
3oun	-41.3	24.79	19.83
4a1s	-47.38	42.12	36.99
3sqo	-64.5	56.93	48.53
4ag2	-46.85	27.3	24.51
4gxu	-46.85	109.06	103.71
3zu7	-46.69	31.09	32.03
4f9l	-40.98	85.45	76.73
4doh	-35.18	61.09	52.26
4did	-29.8	58.23	46.83
4ds8	-29.19	26.96	21.3
4dtg	-57.86	37.96	31.69
3v62	-40.54	87.85	101.95
3vfp	-23.33	20.14	16.05
4ayd	-34.74	40.22	35.6
2lqh	-23.23	0.0	0.0
3vfm	-23.1	20.76	16.02
3uze	-46.21	37.22	39.1
4hcp	-28.69	19.3	18.48
4dkd	-40.11	97.02	83.53
4dj9	-39.98	70.84	67.1
3ukw	-56.84	28.21	22.94
4f0a	-32.08	101.97	129.86
4dcn	-31.29	51.65	42.98
4dvg	-31.52	79.72	72.39
3uir	-53.43	29.84	23.87
4gi3	-52.33	21.43	20.83
3tg1	-34.22	88.16	74.15
3v96	-51.13	47.2	34.36
4dzv	-45.43	45.28	50.8
4dg4	-31.78	16.28	12.87
4an7	-48.49	44.9	35.44
2yq7	-42.56	24.55	27.05
3so3	-53.69	61.18	52.27
4g35	-41.48	27.27	22.23
3tvj	-46.93	16.85	14.35
4hx3	-46.93	58.17	47.74
4djz	-46.55	47.2	50.21
3w9e	-49.91	52.6	45.13
4kvn	-50.36	80.57	75.89
4ksd	-37.59	127.75	135.87
4k2u	-61.73	89.92	73.55
2ypv	-60.06	26.82	21.38
3wd5	-56.73	48.16	42.32
3v6z	-39.5	110.42	97.17
