pdb_id	delta_G	Avg_Bfactor_Total	Avg_Bfactor_Interface
3tz1	-39.1	32.14	29.7
3w8h	-38.73	20.8	15.22
4k0a	-55.62	47.68	49.92
4kbb	-38.5	24.79	23.92
4hgk	-55.49	85.69	61.22
4gn4	-37.65	34.28	31.08
4bpx	-37.68	218.66	196.68
4c4p	-37.68	38.46	26.38
4hff	-54.62	41.23	35.8
4hfk	-54.62	15.88	12.17
4kt3	-54.71	23.39	20.13
4b1y	-37.49	14.76	16.63
3zet	-37.31	29.69	26.77
3zeu	-37.31	18.84	18.2
4l67	-37.07	72.96	92.07
4hdo	-36.78	23.07	20.49
4iyp	-37.23	84.71	85.38
4kp3	-37.23	53.64	49.56
4ic7	-36.34	90.72	84.72
3w2d	-52.73	43.01	34.28
4bqd	-53.09	40.86	29.34
4leo	-53.09	54.48	40.57
4awx	-35.96	47.61	42.93
4k94	-52.51	52.2	38.99
4iop	-52.36	97.93	87.69
4gur	-35.2	51.95	56.53
4bfi	-35.51	93.31	73.31
4gu0	-34.99	77.57	98.28
4fq0	-34.59	91.22	83.12
4lmq	-51.57	44.67	32.79
4hdq	-34.35	38.23	33.15
4mhh	-51.63	142.56	138.01
4c5g	-34.17	37.21	29.5
4g9f	-34.01	24.42	20.2
4kt5	-34.01	57.11	46.2
2ma9	-33.74	10.0	10.0
4dx8	-33.71	102.77	72.27
4j32	-50.76	25.29	25.51
3zkq	-50.92	30.92	24.04
4k3j	-50.92	52.72	44.91
4i2x	-33.79	61.37	48.15
4hh3	-33.6	30.57	25.6
4jeu	-50.54	97.91	83.16
4jo6	-50.32	28.74	36.56
4gko	-16.12	150.48	143.8
3vxu	-33.08	67.34	63.17
4h2w	-32.89	33.45	54.99
4gaf	-67.04	54.17	56.78
4hsa	-49.78	104.44	90.62
3vep	-28.47	53.26	47.14
4asw	-39.95	9.52	11.24
2m04	-45.66	19.82	18.22
4hem	-45.66	29.61	26.21
4imy	-45.66	131.21	139.51
2m49	-28.54	3.25	3.04
4geh	-45.27	35.53	35.49
4i3r	-45.23	94.49	75.56
4c99	-39.63	86.2	81.01
4h5s	-27.99	17.7	15.57
4may	-22.3	42.76	37.96
2m0j	-45.21	0.0	0.0
4jeg	-45.21	34.55	26.5
2lz6	-28.09	9.14	8.8
4llo	-27.85	41.07	39.37
4jw3	-33.33	76.73	61.0
4je4	-44.83	19.15	16.59
4jzw	-61.71	35.66	34.33
4hix	-38.93	20.57	16.0
4kgg	-38.9	45.37	39.19
4grl	-21.76	53.53	47.0
4j6g	-44.45	41.87	39.04
4kr0	-44.39	53.32	49.76
4hjj	-55.91	52.77	46.89
4krp	-38.7	68.32	41.85
4hgm	-44.5	67.06	39.16
3znz	-38.29	31.43	25.72
4ios	-44.07	54.28	51.39
4eig	-51.37	45.13	31.34
4hrl	-51.37	33.02	27.56
4mhj	-51.37	89.98	89.97
3w8i	-49.47	35.35	33.05
4nm8	-49.1	68.39	49.51
2m86	-49.0	0.0	0.0
4glv	-48.71	26.76	21.4
4h88	-48.73	42.11	32.46
4iu3	-43.84	24.84	17.27
4bru	-38.24	104.78	136.84
4aoq	-38.21	11.64	10.9
4i6l	-43.94	42.16	35.78
4jan	-43.94	92.09	75.86
4hmy	-26.82	321.26	321.45
4h2s	-26.64	31.65	60.86
4ekc	-43.71	141.14	138.65
4ekd	-43.71	111.37	105.61
4hj0	-43.6	48.16	42.47
4jry	-26.27	46.46	44.58
4kro	-37.44	61.75	30.1
4bq6	-43.2	52.36	48.34
3wa5	-43.1	16.3	9.43
4jgh	-43.1	74.16	62.79
4c9b	-43.07	43.5	43.63
4jra	-43.11	41.82	40.82
4bsr	-49.65	66.78	61.38
4hlz	-49.65	101.23	79.45
4h3p	-32.53	44.92	67.3
3zjy	-31.52	93.44	75.34
4ng2	-31.36	53.01	41.63
4g01	-31.21	31.76	23.75
4geq	-31.14	37.0	35.62
4k81	-31.07	66.94	61.5
4jrx	-30.97	39.84	35.88
4jw2	-48.13	47.97	43.25
4bxz	-30.94	199.0	183.48
4hep	-37.23	40.16	33.64
4ftg	-42.94	59.04	60.43
4bj5	-25.82	115.92	120.01
4gn5	-42.85	25.77	21.27
4iiq	-25.73	68.86	66.1
4ihl	-36.88	49.96	53.35
4gla	-25.41	62.87	53.36
2m55	-25.43	0.0	0.0
4kgq	-42.49	45.47	40.32
3v3k	-42.31	82.77	72.76
4lad	-42.35	61.13	57.56
2lxp	-42.35	0.69	0.62
4hnj	-48.65	93.91	83.28
4eiz	-48.65	34.04	25.0
4euk	-30.75	40.48	33.69
4b1x	-30.61	36.9	38.77
4g8g	-30.47	22.36	16.76
4gn3	-30.46	32.57	31.64
4ilg	-47.43	47.27	41.31
4kjy	-59.27	47.01	31.73
4naw	-42.16	67.27	64.8
3zo0	-36.3	36.73	33.26
4jb8	-41.99	40.63	37.35
4jpk	-41.99	47.75	42.64
4i0c	-36.17	24.58	21.73
4krl	-41.83	33.74	24.76
3vza	-36.06	34.33	29.31
2m5a	-41.77	0.76	0.54
4f0z	-47.93	23.23	23.9
4iof	-47.93	50.46	41.64
4cc4	-30.07	50.45	37.96
4f37	-47.14	23.16	21.33
4i18	-47.1	59.69	48.18
4i9x	-46.94	52.61	48.0
4brw	-41.67	47.97	80.37
4jkp	-41.62	76.33	69.87
3vv2	-58.7	26.96	25.87
4kt1	-41.37	41.26	30.98
4ika	-24.2	57.28	76.74
2lww	-41.35	6.0	6.0
4ihh	-41.26	38.78	59.38
4m5z	-47.38	64.28	57.31
4bkx	-30.26	53.76	54.61
4k9e	-63.89	56.36	45.19
4aor	-41.18	17.01	15.53
4iw4	-35.47	78.95	75.8
3vxs	-23.91	28.06	23.72
3wn7	-46.44	17.09	18.67
4jeh	-46.18	59.66	54.07
4ka2	-63.22	46.11	48.19
4g3y	-46.01	39.13	32.04
2m0g	-40.39	0.0	0.0
4j2l	-40.26	75.22	64.59
4k71	-46.21	52.72	47.91
3vxr	-28.61	28.86	24.01
4dpg	-40.22	42.13	38.56
4lqw	-22.98	22.25	20.56
4fza	-39.98	96.75	88.99
3vux	-28.8	29.77	27.7
2m5b	-28.54	37.96	37.72
3w6j	-41.39	67.58	60.26
4j2y	-51.69	36.4	32.67
4ij3	-51.63	36.84	33.79
4doq	-39.12	29.31	27.99
4gnk	-38.0	131.83	118.28
4bd9	-42.86	38.57	27.7
3zia	-7.53	60.81	56.33
4ilw	-47.01	41.89	37.12
4boh	-41.41	53.11	49.24
4nst	-35.18	42.83	44.86
4bpk	-45.11	46.12	48.89
4plo	-42.35	42.11	20.64
4pbz	-41.67	61.65	53.79
4u6h	-57.31	65.59	58.49
4lgr	-56.84	29.65	21.56
4mit	-38.52	36.24	34.54
4m1l	-38.5	32.31	37.59
3wkt	-39.95	235.03	205.42
4pz6	-38.11	66.84	78.22
4lgp	-55.01	45.12	42.77
4bkl	-37.46	118.04	107.56
4ml7	-54.61	17.56	16.56
4qt8	-37.4	53.55	52.45
4jmf	-37.25	34.06	32.09
4mqw	-54.44	86.37	67.93
4peq	-89.6	20.34	18.18
4cmh	-55.36	31.68	23.18
4liq	-55.36	57.64	44.71
4pc0	-38.24	33.98	36.81
3wry	-37.15	42.9	34.75
4pl8	-37.07	31.48	40.32
4qxa	-37.07	56.81	38.19
4p1n	-36.78	66.08	65.78
4nqw	-36.4	32.4	25.52
4r8g	-36.01	106.31	95.16
4n8c	-53.64	26.86	22.8
4k24	-35.77	307.44	280.83
4pwx	-35.77	348.17	348.2
4lrz	-35.96	46.46	42.38
4ofy	-35.5	94.45	74.97
4kdi	-35.1	46.79	42.72
4kvg	-35.13	29.6	24.65
4cmm	-34.8	38.62	36.38
4od2	-51.58	111.76	72.59
4mrt	-34.45	28.69	28.33
4nso	-51.42	52.04	42.15
4byf	-34.51	59.17	53.22
4pj8	-34.25	83.53	77.19
4ne9	-33.86	70.26	50.48
3wdg	-50.92	13.02	14.32
4pqt	-34.01	30.64	24.56
4u0q	-34.01	50.95	46.54
4cu4	-33.79	55.02	63.07
4re1	-33.79	49.89	50.35
4w4l	-50.72	83.79	66.68
4wfd	-33.6	69.63	63.98
4ov6	-50.24	45.39	38.99
4w6y	-50.24	22.59	20.04
4nn6	-50.36	94.16	83.2
3wkn	-50.2	49.08	45.9
3wn5	-33.08	55.17	52.77
4qlb	-33.08	58.26	71.03
4kv5	-50.05	67.44	62.72
4nee	-32.79	39.53	35.17
2mcn	-32.66	10.0	10.0
4cdk	-32.66	84.1	67.29
4k1r	-28.49	20.59	17.71
4k5a	-45.59	17.73	14.59
4cni	-62.78	20.83	15.78
4u6v	-62.78	75.26	63.3
4q96	-22.51	24.66	20.0
4cj2	-45.43	26.29	24.85
4pas	-39.37	14.58	13.23
2ru4	-39.38	37.31	35.99
4m38	-28.09	19.72	22.9
4m5f	-62.04	40.69	29.57
2mbb	-22.18	0.0	0.0
4m1g	-44.76	15.72	12.88
4p3y	-39.02	46.1	56.69
4ons	-44.53	79.93	59.16
4ozg	-27.4	79.97	73.31
4pou	-38.84	19.52	15.78
3wo4	-44.66	74.39	61.08
4rdq	-44.66	101.97	105.68
4lrx	-27.53	68.43	67.98
4u3j	-38.79	48.83	38.34
4n7z	-38.54	45.48	46.13
2mej	-27.22	0.32	0.35
4c1n	-44.19	39.06	37.62
4d0n	-27.07	32.14	24.36
4v2c	-27.08	111.61	111.81
4myw	-44.06	82.02	77.99
4bwq	-26.86	23.52	16.7
4np4	-61.19	74.49	68.25
2mre	-26.95	0.0	0.0
4per	-85.62	30.55	34.31
4py8	-51.37	90.81	85.02
4u2x	-51.37	78.89	70.38
4odx	-49.58	56.94	47.28
3wrx	-32.41	32.95	30.64
4pjd	-32.29	32.02	28.69
4qrp	-31.99	61.18	53.9
4pbv	-32.08	57.19	55.46
4pj9	-32.08	37.55	36.12
4m62	-49.03	19.39	16.2
4u97	-31.97	63.16	0.0
4u5w	-31.85	36.35	24.57
3wa0	-31.84	61.36	73.03
4ra0	-66.03	92.34	84.55
4c4k	-31.78	38.95	37.14
4pj7	-31.78	51.3	48.15
4qd2	-31.78	65.19	45.72
4mqv	-31.61	30.54	28.65
4mjs	-43.75	52.55	41.48
4n8v	-26.56	37.08	25.9
4oyd	-55.12	28.57	23.82
4ojk	-26.58	68.92	69.31
2mnu	-37.89	0.0	0.0
2ruk	-26.35	0.0	0.0
4ozh	-26.29	65.92	61.03
4bxl	-37.78	0.59	0.6
4nl9	-37.69	21.92	18.6
2mp0	-9.14	0.0	0.0
4nzl	-43.39	26.03	19.18
4o27	-43.39	88.85	81.93
4ct0	-43.11	70.23	70.06
4x7f	-43.11	32.01	32.58
4jlr	-60.07	77.1	64.2
4p6i	-37.31	55.55	50.81
4w6w	-48.21	32.86	39.05
4x7d	-48.26	39.9	39.16
4p2c	-47.96	29.76	15.34
4m8q	-47.96	61.46	48.04
4u4c	-37.15	63.89	57.96
2mak	-20.03	38.85	38.4
4lyl	-42.86	25.04	24.25
4n9g	-54.15	41.06	38.61
4n7v	-42.78	49.95	36.11
4p59	-59.9	96.88	63.82
4p46	-25.66	60.05	51.18
4p9h	-42.69	64.61	61.01
4v0m	-36.86	56.08	37.48
4v0o	-36.86	27.09	9.98
4v0n	-36.86	52.67	36.47
4r2g	-42.63	55.78	42.54
4pjf	-25.4	48.77	44.97
4qzv	-25.38	47.35	47.61
4kxz	-48.65	51.13	47.93
3wwk	-31.52	60.92	54.57
4msm	-31.52	25.3	21.55
4khx	-47.81	126.99	101.79
4pjc	-30.69	36.05	31.65
4pja	-30.69	38.6	35.4
4kht	-47.75	134.48	93.19
2mj5	-30.63	10.0	10.0
4ol0	-47.53	73.66	73.75
4noo	-47.42	20.46	14.89
4j4p	-42.23	104.74	87.18
4ovn	-41.88	92.49	84.64
4pp8	-36.03	49.42	49.96
4cj1	-41.77	18.18	13.59
4jzj	-47.93	49.68	43.07
4lzx	-47.35	15.24	10.61
4w6x	-47.26	31.36	24.61
2mfq	-30.16	0.0	0.0
4ps4	-64.18	55.98	46.91
4lxr	-46.97	46.04	36.57
4nzw	-35.94	66.66	65.66
4pbw	-35.72	116.36	104.82
4q5e	-35.6	48.97	46.78
4js0	-30.26	29.36	35.99
4p5t	-30.26	65.36	59.23
2mjw	-29.72	0.81	0.98
4o1q	-29.72	53.08	50.7
3wwn	-29.56	35.33	43.31
4m0w	-29.53	17.74	14.43
4ln0	-46.62	25.7	22.51
4lqf	-58.16	34.48	29.47
4k5b	-52.46	23.79	24.73
4lu5	-58.11	37.88	32.52
4wo4	-40.98	40.52	34.31
3wo3	-40.87	78.34	73.31
4p23	-29.8	44.01	39.06
4m6b	-46.51	30.09	28.21
2mkc	-46.28	0.0	0.0
4ozi	-23.71	58.35	51.12
4ozf	-23.4	42.72	35.58
4x7e	-46.55	35.84	29.48
4mp0	-46.01	48.61	61.67
4pjb	-28.77	24.53	21.63
2mur	-28.73	0.0	0.0
4c2a	-45.74	45.49	42.62
4kfz	-40.11	75.41	68.01
4cj0	-40.0	12.03	8.81
4c2b	-45.92	90.06	87.96
4l0p	-45.92	36.52	29.08
4edw	-45.66	69.53	60.23
2mlz	-27.7	12.17	7.49
4c7n	-51.37	38.11	35.2
4q5u	-68.49	73.24	69.63
4p2o	-34.25	56.76	48.18
4p2q	-34.25	124.74	108.92
4p2r	-34.25	117.93	103.14
2mly	-32.53	11.3	7.5
4mne	-42.05	48.1	42.6
2mlx	-30.81	12.53	7.51
4niq	-30.26	48.62	50.73
4u30	-39.16	29.79	23.29
4u32	-36.65	12.82	9.52
4nm3	-24.1	54.81	45.6
4nu1	-24.1	74.87	65.67
4zgm	-55.49	29.2	27.1
4ywc	-37.73	58.52	52.58
5agw	-47.33	88.93	70.92
5agx	-43.37	50.25	40.13
4zii	-42.7	59.74	60.84
4rws	-48.65	84.16	96.63
4z5r	-61.33	75.67	69.95
5e4e	-57.51	58.77	52.8
5c6t	-56.43	138.08	162.74
5bnq	-55.97	56.71	66.7
4yh7	-38.95	147.17	132.54
4r8w	-55.58	74.98	64.59
4xhj	-55.43	101.19	92.28
4wen	-39.95	51.7	42.21
4zkc	-55.12	102.37	110.54
4qlp	-55.01	15.13	13.33
4rwt	-37.89	50.36	56.23
4zk9	-54.91	77.1	81.66
4uuz	-37.78	131.95	128.09
4x33	-37.68	24.64	23.85
4zs6	-37.13	68.77	62.14
4yk4	-36.75	62.87	52.63
4zi2	-36.4	37.63	32.48
4xi5	-53.14	110.89	101.81
5c7x	-70.76	48.67	43.35
5abv	-52.99	65.71	55.52
5bw8	-35.77	112.46	153.67
5cjq	-53.09	158.59	131.68
5dfv	-53.09	34.64	31.18
5dfw	-53.09	46.64	32.53
5d3i	-52.64	70.23	63.86
4yoc	-35.51	66.21	59.95
4zgy	-35.13	83.43	81.81
2mzd	-34.57	0.0	0.0
4wnn	-34.8	50.82	45.68
4v3k	-34.45	26.24	23.06
2n2h	-34.43	0.0	0.0
5cff	-34.08	42.65	37.24
5bqe	-34.01	63.34	55.79
4xxb	-33.27	53.71	46.24
4r8i	-50.54	42.98	0.0
4xl5	-50.54	49.32	46.11
4zlt	-50.54	60.38	58.31
4y5o	-33.41	80.15	78.41
2mv7	-50.27	0.0	0.0
4yc7	-32.67	59.97	57.01
3wqb	-49.91	16.37	17.01
5e8e	-49.91	34.27	31.5
4d0g	-32.79	62.37	55.12
5anm	-66.84	68.77	53.49
4rey	-39.76	52.17	55.29
4x7s	-45.66	53.94	48.08
4s0s	-45.34	92.4	80.58
5brm	-39.52	56.66	58.8
5bn5	-28.3	42.99	37.19
4ui1	-39.42	54.79	50.72
4z80	-45.21	19.68	24.95
4wuu	-44.97	82.22	67.65
4pw9	-27.79	38.05	44.07
5d1l	-39.1	29.02	28.64
2rvb	-39.06	0.0	0.0
4uu9	-61.95	28.74	23.29
4uyq	-61.95	22.42	18.93
4wwi	-44.62	69.4	61.43
2mro	-21.83	2.63	3.88
5do2	-38.76	74.08	64.72
4zqu	-44.5	41.22	33.98
4qti	-44.32	118.62	99.25
4z8l	-38.64	49.91	47.53
4yeb	-44.35	154.21	151.51
5d1k	-38.5	28.59	27.58
4ypi	-44.02	154.74	95.67
3wih	-44.07	27.53	24.31
2n01	-34.25	0.0	0.0
4zrk	-34.25	62.51	57.28
5dob	-34.25	88.94	86.0
4yvq	-32.49	48.57	39.44
4ydh	-31.93	101.6	86.25
4zgq	-31.97	106.79	89.05
4wv1	-49.0	33.52	28.34
4zrj	-31.61	23.18	26.29
4wb2	-61.05	36.81	0.0
5d70	-49.65	37.35	30.85
4uyp	-61.07	16.43	13.88
4zfo	-60.95	22.69	18.27
4rgm	-43.61	39.89	36.1
5cmn	-38.0	118.55	99.01
4rs1	-43.5	61.26	53.65
4zv4	-43.6	122.04	97.66
5di9	-32.08	44.2	50.44
5cyk	-37.69	89.7	70.83
4rjf	-37.68	24.68	25.03
4xlw	-37.57	145.33	126.43
5ajk	-31.84	77.77	77.51
4pgj	-43.29	36.33	32.19
4xhu	-43.29	51.88	48.87
4pvz	-43.17	47.39	48.89
5eiv	-25.97	32.91	26.75
4yyp	-37.4	89.89	90.64
4qci	-60.23	65.55	58.95
4yiq	-32.53	33.89	31.1
5e6p	-32.53	137.89	154.69
5aam	-48.06	86.14	88.93
5bvp	-60.02	54.99	40.17
4xl1	-37.2	53.82	45.29
4cvw	-60.06	25.06	29.2
5a6w	-42.86	30.85	23.46
4wnd	-42.71	23.23	24.69
5ajj	-31.35	48.98	59.86
3wwq	-25.37	40.7	39.49
4tq1	-19.73	24.91	22.05
4y61	-36.81	109.56	86.1
5a3i	-42.49	61.45	55.28
5dh9	-42.42	47.04	54.08
4xkl	-25.16	27.38	22.05
4uwq	-31.52	92.82	117.81
5c0n	-30.73	61.69	52.14
5aoq	-47.87	59.78	69.27
4w4o	-47.81	41.54	40.53
4xvp	-47.81	118.51	111.8
5aaw	-47.74	52.35	49.43
4xwj	-47.67	38.4	32.32
5d2n	-30.41	41.26	35.59
5e3e	-42.17	22.32	20.51
4ypg	-59.11	66.01	58.73
2mws	-24.81	2.17	2.3
4pj2	-58.95	23.08	20.85
5dwu	-41.72	142.12	132.75
5d2l	-30.21	80.26	71.31
4yl8	-30.07	23.51	25.55
4d2g	-29.99	53.16	50.76
4weu	-29.93	61.39	54.23
5bw7	-41.56	65.6	63.45
4zak	-41.39	50.03	46.82
4zfg	-47.38	59.5	52.37
4zff	-47.38	69.66	61.59
4s3o	-29.76	44.01	40.12
5ee4	-29.76	33.55	31.19
4uem	-46.77	99.8	98.96
5e8d	-46.73	81.44	78.33
4wem	-29.49	33.94	23.37
4uf1	-29.43	53.55	55.61
4tq0	-29.46	29.22	24.16
4uwx	-29.46	26.56	29.83
2n1d	-41.22	0.0	0.0
5d1m	-41.14	25.99	25.78
5d71	-58.14	51.39	45.25
5d72	-64.05	67.94	59.85
4xoi	-29.32	45.4	39.23
5c0s	-46.31	86.99	75.23
4rgo	-46.25	29.13	24.98
5dha	-34.86	54.04	58.79
4x4m	-45.98	182.92	181.85
4yn0	-40.36	63.7	47.15
4ui0	-40.27	88.36	95.37
4xnm	-46.21	85.37	72.38
4yiz	-46.21	34.91	31.36
5cxb	-45.87	63.41	45.46
5e7f	-45.9	78.77	79.69
5cjs	-45.79	179.83	177.26
4zpt	-45.68	41.73	35.34
4yj4	-45.69	18.45	17.38
4qnp	-40.08	48.09	45.67
5c3f	-34.8	23.93	24.48
5gpg	-50.71	18.2	24.36
5ibk	-42.56	81.11	74.9
5e94	-50.36	32.43	26.69
5j57	-61.07	23.94	21.08
5hvf	-60.06	62.06	53.96
5hgg	-58.6	30.36	24.12
5eg3	-39.21	35.52	33.63
5f6k	-39.3	46.73	52.32
5hpy	-39.3	68.13	55.34
5jsb	-38.95	92.37	75.67
4ybl	-55.76	95.78	88.59
5dcq	-38.5	29.04	30.29
5lxm	-38.5	74.05	83.25
5t5f	-55.49	69.84	55.07
5eoa	-39.95	58.88	52.29
5j7c	-55.25	37.75	34.2
5ibw	-54.81	14.97	13.24
5cw7	-71.65	50.08	47.45
5ifs	-55.36	45.25	38.2
5sx4	-54.04	54.76	41.56
5fo8	-36.85	67.48	73.01
5ies	-36.72	57.88	53.84
5eo9	-36.71	58.2	48.01
5czv	-54.35	68.61	60.5
5mi0	-36.46	50.68	39.85
4zi3	-36.4	46.11	41.51
5li1	-36.12	26.28	27.01
5ays	-53.05	25.75	29.21
5cx3	-35.77	55.85	60.07
5c0b	-35.96	53.16	47.68
5sv3	-52.53	26.81	14.21
5hvg	-52.51	84.04	77.64
5lxq	-35.35	70.28	78.7
5czx	-52.64	37.13	27.51
5ep6	-35.06	28.73	26.32
5boz	-52.25	89.77	92.66
5d5m	-35.13	48.16	41.47
5eyp	-51.86	48.44	43.11
5bt1	-34.71	46.05	48.55
5ctr	-34.56	106.37	75.5
5jsn	-34.8	55.03	46.81
5dmi	-51.6	42.74	37.71
4xkh	-34.4	47.4	43.31
5k8q	-51.63	32.26	37.82
5kho	-34.51	96.82	82.59
5sx5	-51.02	55.69	41.48
5l2k	-33.9	80.58	81.72
5c4v	-34.01	41.04	36.65
5szk	-34.01	86.15	74.15
5hdq	-50.92	44.07	32.65
5j3d	-50.59	153.47	130.45
5fob	-33.6	80.53	60.66
5chv	-33.26	59.34	42.5
5edv	-33.08	185.81	165.93
5jg6	-33.08	27.63	26.49
5d8j	-49.94	30.11	24.56
5kov	-49.82	105.64	109.31
5b78	-32.68	24.97	24.37
4zrp	-49.91	59.16	65.39
5fvk	-32.79	27.47	28.74
5fo9	-32.66	143.01	131.3
5d7l	-28.44	104.87	98.33
2n8j	-45.49	0.0	0.0
5b77	-28.35	30.25	25.67
5czf	-57.08	50.07	49.24
5kn5	-57.03	48.64	40.88
5et1	-39.79	22.74	22.25
5b75	-28.54	34.17	29.68
5dju	-45.34	36.95	31.95
5ft8	-39.56	69.8	74.25
5g1x	-28.07	28.14	29.82
5inb	-39.44	16.74	18.18
5ius	-56.48	118.24	100.93
5e9d	-39.32	62.22	51.08
5fhx	-62.33	61.29	51.77
4z9v	-28.09	69.2	66.43
4rt6	-44.97	55.7	60.93
5ij9	-27.81	72.95	72.01
5d1q	-62.13	74.21	67.26
5eb1	-39.12	34.28	29.3
5fr2	-39.1	54.95	48.52
5hk5	-39.02	36.63	34.23
5e95	-44.54	15.08	10.44
5j8h	-38.9	0.0	0.0
5f1b	-21.7	50.93	41.64
5jlv	-44.66	44.51	40.75
5i5k	-61.38	244.5	281.49
5djt	-44.35	20.45	15.98
5j28	-38.32	28.03	29.25
5ejc	-38.27	99.75	96.6
5lz3	-26.95	42.77	46.95
4z2m	-32.52	80.42	70.56
5jhf	-32.53	142.45	138.97
5ksb	-32.53	55.19	46.95
4z9k	-49.41	26.6	22.84
5tar	-32.18	37.37	43.1
5te6	-49.01	79.37	77.11
5j3h	-49.1	122.5	110.42
5k59	-66.22	74.45	66.6
5d50	-31.88	65.16	57.45
5jhl	-48.91	73.01	56.68
5te7	-48.81	63.23	51.7
5jh5	-31.69	47.54	43.44
5ks9	-31.69	36.43	25.87
5kw9	-43.88	46.03	41.89
5glh	-60.98	84.54	75.99
4zs7	-60.95	30.62	30.14
5d1x	-60.95	88.57	83.74
4xr8	-26.57	53.47	51.78
5fqd	-38.0	97.14	90.32
5f5s	-43.71	94.77	102.15
5szi	-37.65	101.17	84.15
5k22	-43.39	95.92	94.65
5kvd	-37.53	30.57	26.31
5ee5	-26.17	67.69	54.43
5d28	-43.2	60.95	50.32
5ikc	-43.2	41.94	36.87
5cd5	-37.32	140.65	115.71
5mhs	-49.65	143.08	121.41
5l8j	-32.53	35.49	30.4
5f3x	-48.56	77.4	70.13
2n13	-31.44	0.0	0.0
5j56	-48.49	46.6	41.01
5fr1	-31.29	59.28	46.04
5ibl	-31.07	140.31	136.84
5eof	-30.94	41.67	36.33
4ww2	-30.87	56.56	51.97
5sws	-25.82	48.25	43.46
2n73	-37.07	28.48	30.75
5hps	-37.05	51.27	47.68
5kvf	-42.78	19.44	17.51
5m72	-42.7	34.63	28.34
5hxb	-36.87	116.71	107.83
5men	-25.5	57.8	47.5
5dc4	-42.56	19.35	19.6
5kve	-42.56	25.98	19.35
5imt	-36.73	41.03	40.35
5hys	-59.42	70.44	62.6
5jdo	-48.65	87.82	74.91
5f3b	-65.77	26.27	20.69
5d7j	-31.52	32.65	27.58
4wwk	-30.81	63.2	46.39
5drz	-47.7	43.46	41.42
5fug	-47.7	56.13	54.84
5ksa	-30.41	45.39	35.92
5eib	-30.36	29.65	28.89
5elu	-36.43	22.44	18.89
5grj	-59.22	74.91	60.95
5kwy	-36.34	55.92	51.15
5c0c	-24.84	52.9	46.74
