pdb_id,delta_G,complex_count,mean_nearest_opposite_A,mean_nonpolar_to_nonpolar_cross_A,mean_nonpolar_to_charged_cross_A
1fc2,-43.65,251,12.882058,7.425219,12.351416
3sgb,-61.34,235,,,
2tgp,-32.08,281,9.317148,7.257919,8.856553
2ptc,-75.47,281,8.633218,7.280448,8.601627
2sni,-66.77,339,10.043248,6.839483,10.169143
1atn,-53.35,629,11.559006,7.089456,10.105631
1gla,-38.5,650,10.155881,7.184252,8.923123
1acb,-55.36,304,14.696280,7.360483,9.959849
2pcc,-33.08,804,9.380500,8.193848,12.807014
2pcb,-28.54,692,9.218095,12.059496,9.148134
2sic,-57.92,382,12.124660,6.372028,10.328432
2cpk,-49.3,353,8.736181,7.442590,8.216314
1brs,-79.26,588,8.031903,8.662661,8.337550
2btf,-32.18,512,9.531082,7.623044,8.690741
1ppe,-65.77,252,11.856882,7.640332,9.443183
1smf,-39.5,232,8.341516,8.096083,8.409152
1rlb,-34.8,834,8.179156,7.140020,13.009794
1mah,-60.51,594,8.971378,8.090136,8.432799
1efn,-36.64,322,8.408821,6.646257,8.501101
1ak4,-27.22,618,,6.926064,
1gua,-42.23,243,8.498956,7.929991,8.662461
1ycs,-42.94,384,8.464975,8.301517,9.295399
1dhk,-59.68,690,11.961159,8.665057,9.555397
1dfj,-75.51,580,10.160532,10.112310,9.345108
1fle,-46.93,287,10.340234,7.820772,9.025302
1b27,-79.91,587,7.857389,8.648767,8.277559
1a22,-54.04,372,9.494365,7.358324,8.280484
1b2u,-39.95,587,9.527883,8.397964,8.690700
1xdt,-45.66,559,8.813689,7.566118,8.438783
1b3s,-56.69,587,7.838526,7.610489,8.264577
1axi,-44.83,366,12.015062,7.854928,8.062342
1avz,-27.4,260,9.838863,10.159675,7.642208
1a2k,-38.95,848,11.475756,6.951879,9.677895
1b2s,-55.96,599,7.765108,8.526557,8.450028
1wq1,-27.22,486,9.794948,7.684187,8.565191
1avx,-75.47,395,8.794788,8.127006,9.493582
1buh,-40.6,357,12.069009,9.080505,8.369057
1an1,-51.63,262,8.344788,7.009324,9.446147
1ldt,-49.91,269,9.662061,6.983261,9.286120
1fmo,-49.3,356,8.987469,7.384876,8.202448
1azz,-53.04,727,12.813417,6.680640,10.671821
1bvn,-63.05,567,11.497258,7.643390,10.467997
1ugh,-64.05,305,9.339575,8.218733,10.280241
1vpp,-30.75,224,9.244335,6.155395,8.334720
1b6c,-37.4,1732,15.193841,7.847510,9.812330
1ibr,-54.35,1234,8.996862,8.916934,9.961238
1flt,-50.61,382,12.268788,8.361737,9.484178
1uug,-33.6,607,11.481260,8.752240,10.140209
1lfd,-32.66,508,8.440719,8.520274,7.850811
1kac,-44.69,309,10.929572,8.039668,10.626725
1sbb,-22.0,950,11.860453,9.725468,9.202947
1eer,-51.37,592,10.196435,7.586224,8.775350
1tba,-51.37,247,8.436059,7.077869,9.200588
1ay7,-34.25,185,7.613797,9.296125,7.691260
1cn4,-34.25,589,10.730083,7.832192,9.704432
1qa9,-34.25,394,8.217771,12.390680,6.688203
1grn,-36.59,388,12.946777,8.041354,8.962031
1vrk,-46.62,167,7.982071,7.793766,9.237699
1cmx,-32.93,515,8.444144,7.392255,8.989160
1es0,-42.23,372,10.402538,7.096961,8.837544
1fg9,-57.08,862,10.280329,7.044027,9.307267
1g9i,-39.5,245,8.822508,7.905851,8.627203
1d6r,-56.43,281,9.896444,8.988961,9.931362
1e4k,-32.93,604,15.203105,8.301370,10.308590
1qty,-62.78,757,10.601623,8.136020,9.222731
1du3,-44.51,1490,8.797206,9.513411,8.438866
1e96,-31.78,363,9.310122,8.757550,10.112305
1ees,-43.94,224,15.920240,6.545255,8.611821
1emv,-77.74,214,9.089726,8.712881,8.461264
1djs,-42.16,336,10.206747,7.456323,9.553582
1dzb,-35.87,706,9.235611,8.201317,9.063660
1f3v,-29.15,322,11.207581,8.309806,9.971392
1g6v,-40.77,382,12.512907,7.126783,9.185750
1clv,-51.37,502,11.882935,7.677257,9.191742
1ezu,-57.63,726,15.336943,7.178415,10.062668
1ezs,-55.62,696,11.427389,8.205777,8.525769
1dp5,-51.63,360,17.951267,7.448543,9.763126
1c9t,-51.37,1656,17.969238,7.591092,8.892603
1c9p,-51.37,272,10.636396,8.072420,9.347968
1dpj,-48.65,358,17.383448,7.340087,9.553193
1fy8,-28.8,271,9.443492,7.469326,8.424163
1i4e,-39.5,536,15.206202,8.460211,6.912963
1f34,-57.08,463,,7.772951,12.686856
1i8l,-38.24,634,10.705506,7.988168,9.384505
1g5j,-52.64,200,10.277435,6.453072,10.527122
1e6e,-34.62,1132,8.844539,7.559793,8.071098
1ffw,-33.79,392,9.681202,7.372033,8.701303
1gcq,-27.25,182,14.883224,6.865992,11.096828
1e3u,-34.25,970,10.626845,7.833678,7.655668
1i2m,-66.22,1107,8.771985,7.813832,7.901610
1he8,-31.97,915,10.954818,9.802157,9.145982
1hcf,-54.71,444,9.040052,8.889305,10.852233
1ewy,-31.09,704,9.881071,9.433543,8.306176
1ib1,-19.73,1620,11.034514,8.749222,7.891970
1j7v,-59.68,355,9.495137,7.910835,8.471961
1i4d,-31.52,550,14.682085,7.892569,10.838932
1i5k,-42.1,211,7.616496,7.851553,7.203711
1jiw,-65.06,575,12.893565,8.194670,10.483334
1j7d,-32.53,289,9.707870,7.259317,9.388975
1jtg,-56.84,853,10.232968,7.188183,8.125457
1gl1,-56.43,817,20.494745,6.790941,8.859746
1gl0,-51.92,273,,6.263946,
1eja,-51.37,276,10.427613,8.060294,9.421851
1f7z,-28.01,269,9.427895,7.334532,8.842267
3tgk,-28.09,273,,,
1jtd,-60.3,535,10.839306,8.355382,8.565179
1f5r,-23.9,273,9.442688,7.512562,8.465692
1gpw,-44.07,1360,9.287374,9.780384,7.735877
1lzw,-36.99,237,11.914393,10.147876,8.486183
1l2w,-54.35,1172,9.384506,7.454763,9.366414
1go4,-34.15,1146,10.184435,6.901663,9.292790
1jwh,-45.09,1075,19.958197,7.404458,9.658215
1l4z,-38.28,373,12.605270,7.507015,12.886272
1l4d,-38.28,361,13.119553,6.783946,11.481302
1kxp,-51.37,787,10.759805,8.152730,9.049566
1mxe,-68.49,338,7.367238,7.133707,9.505031
1k93,-43.94,1884,9.204009,7.699828,8.323236
1ktk,-26.82,1200,11.084641,6.690804,10.365409
1kxt,-37.84,1857,12.140516,7.241006,8.739482
1kgy,-43.39,1276,11.155153,6.920205,10.643504
1kxv,-43.39,1232,11.694935,7.310542,9.213983
1lj2,-26.08,265,11.846521,6.629599,9.592112
1ktz,-37.31,188,7.030158,6.418248,7.929906
1lw6,-66.77,344,9.680461,7.087245,10.244886
1kxq,-48.26,2464,15.691426,8.588336,9.505134
1kbh,-42.63,106,7.989025,6.465075,9.663729
1h59,-42.42,99,9.735055,7.036937,9.464515
1gng,-42.29,757,9.186913,6.438769,9.363119
1kkl,-41.93,762,16.225636,7.057173,9.969112
1eaw,-58.81,594,8.689263,7.399504,8.104248
1lqs,-47.93,697,9.554705,9.078546,9.989032
1gxd,-47.28,1631,10.350651,7.231443,9.296141
1m10,-47.01,466,10.073335,7.412007,8.610334
1jsp,-24.55,140,,7.624535,9.669695
1l0x,-29.8,914,16.290354,11.323940,13.193377
1l8c,-46.55,146,10.640288,6.505074,9.362760
1m1e,-51.37,577,10.862894,9.226542,8.333040
1l0y,-29.8,913,16.260910,11.514500,12.408430
1jgn,-36.85,120,10.870134,7.458871,9.217175
1ogy,-53.09,7336,10.309364,7.046855,8.877516
1op9,-52.25,251,9.099476,7.596798,8.619467
1p27,-52.25,472,10.115624,7.713447,9.196427
1lx5,-50.92,198,11.892224,6.898562,9.092799
1p3q,-33.79,224,15.324653,6.600535,9.975127
1j2j,-33.41,206,14.970151,7.137368,9.402291
1jh4,-33.24,120,13.789921,7.420643,8.891677
1mzw,-32.57,204,10.441526,6.082916,9.496174
1oqe,-39.74,1681,7.548912,7.691445,9.069415
1nys,-45.66,343,11.732553,7.306615,9.017680
1nyu,-45.66,320,11.181720,7.363365,9.356263
1p9d,-27.91,110,13.667561,7.180600,11.014099
1uad,-39.17,530,8.863000,7.944015,7.484440
1otr,-21.74,125,8.272172,7.038899,9.056465
1pjm,-38.5,447,9.199227,7.809679,8.068372
1o9a,-34.25,117,10.216560,8.344123,8.817143
1m5n,-49.53,513,10.129723,10.185179,10.025437
1psb,-26.82,234,9.357344,7.250441,6.965366
1pjn,-43.71,447,9.246710,13.076426,7.243281
1h1v,-43.6,695,11.692326,7.889280,8.905758
1q0w,-20.31,100,10.095662,6.586594,8.747665
1r0r,-60.11,325,14.377530,6.348025,10.066075
1lp1,-32.53,109,12.926479,7.843027,9.327079
1ozs,-25.73,93,11.213775,7.122346,9.476662
1mq8,-31.52,722,8.993889,7.505747,9.063477
1q68,-36.52,67,10.445359,6.447005,10.457934
1oey,-47.93,696,9.049833,7.822636,9.101720
1h0t,-29.8,116,8.959874,7.928829,9.043293
1pvh,-40.51,740,11.913446,7.228288,11.044374
1q69,-34.51,48,,6.502189,
1oc0,-51.37,401,8.652354,8.177957,9.169066
1nvu,-31.07,801,10.965439,8.786140,9.391574
1nf3,-41.67,634,15.110251,6.774432,10.312146
1oph,-47.38,598,12.131529,7.646251,8.840497
1nw9,-45.01,329,20.867672,6.879310,15.483793
1pxv,-54.27,588,8.618589,6.762647,11.333355
1mcv,-40.0,268,12.302443,7.754603,9.640644
1oyv,-45.92,652,17.097733,6.572750,11.407842
1rpq,-44.5,746,8.264826,7.435736,9.660383
1xxf,-39.95,750,10.073705,7.158283,7.741850
1rv6,-39.16,373,17.140442,7.365129,11.787694
1xx9,-50.36,749,10.833797,7.365838,7.745618
1xu1,-48.69,524,11.027979,7.572754,9.044253
1xxd,-37.23,747,10.153029,7.691270,7.885424
1ry7,-37.89,364,11.149981,7.138868,9.631411
1u0s,-37.89,204,10.947495,7.215642,8.987627
1xqh,-38.24,510,6.897659,8.164363,6.923677
1pd7,-37.23,109,12.979086,6.163793,10.327467
1xd3,-37.23,606,10.542484,7.749960,9.000689
1t6b,-53.64,846,10.098049,6.792977,8.570209
1us7,-32.79,401,10.564909,6.792825,8.228401
1xr0,-28.54,151,8.306085,6.385699,10.642873
1sv0,-45.4,319,6.852032,6.783036,8.172030
1vet,-45.05,240,10.703911,6.513895,10.834589
1veu,-45.05,237,12.865265,6.978626,12.009858
1q5w,-22.26,107,8.999485,6.726083,11.242191
1tdq,-45.21,397,10.914774,7.755569,11.835032
1r8u,-45.01,150,11.761373,6.776657,10.026139
1syq,-44.71,284,19.719702,6.286751,15.644699
1sb0,-27.53,112,11.610645,6.853590,8.384443
1tzn,-55.76,10262,10.233098,7.871084,8.510879
1sg1,-38.42,361,8.308828,7.321088,8.556875
1t44,-34.25,502,10.694250,7.756681,8.490973
1th1,-49.53,1127,13.082330,7.958864,9.776056
1xt9,-38.24,284,8.572659,6.458592,8.130591
1vyt,-43.94,611,9.825634,6.398928,9.365228
1w1w,-20.46,1539,10.857739,7.351748,10.292367
1u7v,-37.26,598,11.899885,8.085892,9.114297
1usu,-31.29,378,8.072680,9.128956,9.385736
1usv,-31.29,1569,9.384735,9.228891,9.718824
1uel,-31.21,143,7.863051,5.776294,9.594970
1tlh,-20.11,157,9.986755,7.359547,8.117852
1sq0,-42.94,463,10.564269,7.437595,8.480571
1p6a,-42.56,309,10.601296,8.171287,10.801465
1rkc,-42.29,284,16.809841,6.560372,10.981272
1t01,-42.29,279,19.856127,6.219801,16.160765
1oyh,-42.1,826,12.099717,6.404154,9.847823
1rke,-41.67,438,11.118755,7.591457,8.728888
1u7f,-41.3,583,12.155635,8.136964,9.078110
1vg0,-47.38,663,10.093373,7.976630,8.781677
1ty4,-46.77,362,11.408993,6.212910,8.979230
1s4y,-46.59,393,11.312659,7.737896,9.306170
1u0i,-40.84,42,9.332656,5.939806,7.610036
1p69,-40.63,309,11.023586,8.186996,11.025452
1shy,-40.22,727,7.681143,9.697317,7.643982
1s1q,-18.84,418,14.904481,7.471056,8.676165
1nm5,-41.22,892,15.413624,7.942358,11.602182
1tm7,-65.53,345,8.930122,8.511323,10.626318
1tm1,-65.77,345,9.608944,6.597548,10.493364
1tm5,-61.47,345,8.944349,6.870234,10.310285
1tm3,-61.19,345,8.103374,8.360315,8.968383
1tm4,-56.43,345,9.061913,6.904532,10.453175
1to1,-53.29,345,9.133606,6.868898,10.297782
1uuz,-43.39,517,9.783340,7.511892,8.129081
1te1,-48.34,464,8.158712,7.514131,9.836809
1ta3,-45.92,575,13.587022,9.076077,9.894070
1zjd,-52.48,294,9.659668,7.250679,7.912323
1yc0,-49.65,313,7.964618,8.045657,8.433040
1vyh,-40.51,5280,9.577611,11.768554,9.189854
1z7x,-88.68,1172,11.686377,9.562025,8.806802
1zhi,-38.24,320,9.743147,7.288434,9.060035
1r6q,-36.99,471,12.371802,8.173743,8.709582
1wlp,-35.35,163,13.358459,6.639432,9.558719
1zm4,-34.3,3087,10.052305,7.176041,7.943623
1y8n,-33.86,471,9.724141,8.020385,9.358199
2c1m,-51.13,470,8.607351,7.427382,7.697787
1ydi,-49.94,280,21.566139,6.785408,10.420488
2b4j,-45.45,444,11.157208,6.693351,8.690478
2b0z,-22.83,402,9.739554,7.714662,7.434519
1v18,-45.66,544,12.817372,7.660389,9.255814
1z92,-45.66,244,8.126784,8.353575,8.377126
2ajf,-45.66,1542,20.855547,8.949674,11.894842
2b10,-28.54,804,9.097718,8.994166,12.241465
1wa8,-45.43,194,10.030200,6.236686,9.757315
1x1y,-27.95,594,9.676105,8.538912,8.511814
2a7u,-39.5,127,10.094301,6.456056,8.827152
1x1u,-44.97,596,8.269492,8.608938,8.278427
1wdw,-44.77,3760,8.659281,8.777969,8.564559
1wr1,-27.57,134,11.285172,6.230108,9.726699
1t63,-27.53,264,9.880758,7.211691,8.846171
1x75,-44.27,451,10.723448,9.344048,10.416499
1y6m,-38.6,346,9.497412,8.440751,8.613711
1yd8,-21.36,332,8.554287,7.927899,7.544303
1y6k,-51.37,350,9.650180,8.505279,8.337061
1yru,-51.37,420,9.150323,7.517967,8.435837
2bp7,-51.37,2980,11.482995,7.066858,9.864226
2c1t,-49.65,921,9.222829,8.639931,7.765100
2byk,-32.18,319,11.052539,6.147202,9.441820
2bym,-32.18,298,10.532801,6.126383,9.666741
2be6,-48.97,483,8.478632,7.334826,10.110453
1ri8,-48.73,253,10.872535,11.797840,7.924963
2b12,-26.82,402,8.406666,7.248303,7.918573
2bqz,-26.82,340,10.244438,11.398177,8.306271
1wr6,-20.76,641,10.961972,8.735582,7.649323
2aw2,-43.39,417,9.458777,7.813067,7.679849
1t0p,-26.27,260,10.042084,8.131495,8.547676
1x1w,-43.26,596,7.813889,8.615445,8.293819
1y6n,-43.2,339,9.536613,7.911207,8.445420
1vrc,-25.95,428,10.279783,9.129579,10.118382
1t5z,-25.58,261,11.798418,7.083131,9.678791
1yx5,-19.73,188,9.800908,7.550575,8.739406
1xj7,-25.16,265,6.950660,6.936991,11.447821
1u5s,-14.4,137,8.205157,9.452281,10.167878
1shz,-31.52,1037,10.042594,7.931145,8.081782
1wrd,-19.34,174,8.121821,7.455176,8.077330
1zc3,-42.1,564,9.484049,8.569637,8.324852
1zc4,-42.1,572,9.325296,8.350681,8.166822
1x1x,-41.53,596,8.178206,8.828169,8.334851
1pk1,-41.48,267,6.387013,6.768218,8.381134
1xg2,-47.38,468,12.142115,9.249565,9.098651
1y76,-30.26,244,9.312344,6.391595,8.837646
2b11,-30.26,804,9.855097,7.951097,12.222634
1xqs,-29.61,858,8.056145,10.203403,8.561780
1ul1,-41.22,1743,10.371722,6.642652,8.610860
2a78,-41.22,377,10.733095,7.755093,8.522682
2a9k,-41.22,377,10.661649,7.829422,8.591834
2c5d,-46.93,1146,9.119470,7.453094,8.642358
1zsg,-29.25,87,8.739038,7.695882,9.911754
1zmy,-46.34,391,21.061333,8.536801,12.792985
1z0k,-29.19,459,10.079531,6.872396,9.012883
1yx6,-23.61,188,10.328526,6.635249,10.938398
1rjc,-57.72,252,13.685164,11.919175,8.560756
1wve,-46.55,1180,13.363203,7.114288,10.036931
1wqj,-34.61,142,12.481322,6.815889,10.254494
1wa7,-28.64,82,10.674998,6.974220,8.986225
1y3c,-60.51,345,9.038612,6.826088,10.301360
1y3b,-54.27,345,9.045871,6.952274,11.807978
1y1k,-54.35,345,7.730826,6.583118,10.516804
1y34,-52.99,345,9.111347,6.427203,11.597778
1y3d,-52.81,345,10.512134,6.767916,10.859878
1y4a,-50.92,338,8.893642,7.919430,9.418945
1y4d,-50.92,339,8.606788,8.269690,9.138984
1zli,-50.72,380,11.543636,7.972191,8.699724
1y33,-50.05,345,9.126920,6.447341,10.132689
1y48,-50.05,345,9.430183,7.094042,10.468495
1wpx,-49.91,625,12.917795,7.447965,11.424433
1zr0,-45.01,572,11.070387,7.568460,9.300971
2bo9,-48.65,1048,11.608437,8.152499,10.918816
2hev,-42.86,266,8.660682,10.350192,8.479300
2gng,-31.52,358,9.655929,7.176733,8.343203
2gww,-56.84,281,20.850391,6.763446,13.416332
1zvy,-57.08,254,9.916162,7.487967,8.109352
2cjs,-39.95,373,9.433604,7.266282,7.930250
2f6a,-38.24,1331,18.643789,7.815125,12.992990
2dx5,-19.87,172,10.112046,7.176143,9.469748
2b7c,-36.52,527,10.336364,7.366532,10.356079
2f5z,-51.99,4930,8.970063,8.789990,7.418469
2fu5,-52.25,517,10.344089,6.622997,9.271297
2ixq,-35.13,285,16.853859,7.321290,11.406384
1yk0,-51.47,809,10.850509,7.602465,9.250700
2f9z,-34.51,691,8.484482,7.010375,9.029861
2b42,-51.2,548,9.639389,9.346343,10.294147
2j1k,-51.13,3623,13.071013,8.423432,11.244815
2g2u,-33.69,430,10.504199,7.332605,7.591321
2i32,-33.6,345,7.806674,6.634470,8.760914
2d10,-50.05,1266,9.912655,7.009849,8.983337
2b87,-39.95,116,12.509927,6.699625,8.052440
2f31,-39.9,248,10.971733,6.844272,10.108320
2hth,-22.71,202,10.910595,7.081315,11.693928
2c0l,-39.74,414,11.882671,7.119982,10.074627
1zv5,-45.66,248,12.863079,12.288918,8.683947
2aq2,-45.43,344,10.832522,7.867795,12.303790
2fdb,-38.87,685,9.221869,7.742552,9.171638
2ftm,-61.62,281,9.257298,7.195179,8.690385
2den,-27.22,122,9.316785,5.933983,9.857681
1yrt,-51.37,420,8.189573,7.415577,8.281903
2g45,-31.68,386,11.643088,6.539256,9.173806
2fyl,-31.69,163,8.585867,9.022539,8.928754
2hd5,-31.69,391,10.820723,7.077704,8.055664
2j12,-43.94,302,11.012464,8.057359,10.235353
2hwn,-49.65,206,9.974988,6.438229,12.327116
2few,-13.88,240,15.258032,6.508907,10.675607
2fuh,-20.11,222,18.140770,7.398622,13.656909
2a24,-25.82,215,11.248233,7.635189,9.490484
2dsp,-31.52,148,10.182271,7.229205,9.221788
2hle,-42.23,321,10.437339,6.986008,10.630311
2djy,-25.1,62,10.808428,6.834527,7.900958
2h4m,-42.1,1687,12.143358,7.218305,14.231637
2arp,-36.34,253,9.156353,7.905245,8.906893
1yk1,-41.89,809,9.580025,7.913857,9.030107
2fju,-30.11,873,11.127579,7.278422,9.628510
2aq1,-47.14,1380,14.623819,7.557792,12.309828
2g2w,-35.59,429,9.467168,7.111545,7.887539
2es4,-47.38,1176,11.376568,6.936248,9.739984
2c7m,-29.64,132,9.025297,6.819470,6.748028
2c7n,-29.64,765,9.683273,7.599177,7.719891
2hsq,-46.69,284,16.088560,6.816815,9.729868
2ftl,-75.47,280,9.385631,7.204638,8.720424
2f4m,-41.02,356,22.572546,7.673775,11.776882
2aq3,-29.22,1376,14.284043,7.685872,11.851349
1zvh,-40.84,251,13.608366,6.183395,8.335514
2iy1,-34.84,618,9.287180,5.838476,10.706112
2bwe,-23.38,1047,11.217713,8.198534,9.521603
2a9h,-34.51,424,7.415031,9.405439,8.588570
2gh0,-40.22,598,9.811747,7.647948,8.600743
1zgu,-22.88,215,11.868712,7.437224,8.967034
2hrk,-45.92,298,13.260647,7.992657,9.423450
2j7p,-45.66,1107,10.754337,6.920701,8.064130
2j0t,-53.64,854,30.637522,6.639662,12.580406
2abz,-48.82,826,13.762959,8.046721,10.728142
2o3b,-65.61,376,9.246146,8.820869,7.649538
1yvb,-46.73,352,17.623581,6.754959,12.524402
2j8x,-46.21,623,10.165601,7.717176,9.901682
2omy,-38.24,566,11.309291,8.414022,9.899141
2qxv,-36.64,381,10.869134,7.049080,10.532927
2oin,-35.92,369,9.084905,6.360121,9.657408
2odg,-35.55,225,11.318964,6.545392,9.791268
2omu,-52.64,567,11.445878,8.593565,9.884987
2o98,-51.77,573,9.150588,7.794414,8.356875
2gox,-51.92,724,8.593364,8.784557,8.251346
2i9b,-51.47,1514,16.554134,9.410544,9.089978
2ifg,-51.63,911,10.177075,7.732263,10.841281
2nyz,-51.63,869,13.304241,6.993769,9.352520
2pkg,-34.1,1318,11.326097,7.896945,8.568946
2i25,-51.37,489,9.339814,7.601303,8.693273
2qej,-51.13,803,12.060320,8.263480,10.661873
2omv,-50.92,564,11.639294,8.421776,9.844145
2pon,-33.41,179,10.434457,6.846139,9.020662
2ot3,-32.79,410,14.076811,7.288317,9.254918
2pms,-45.59,880,7.789084,8.061968,8.473199
2ju0,-39.95,227,15.685159,7.984971,12.102709
2omt,-39.95,567,11.872784,8.442036,9.921003
2q7n,-62.78,1320,10.997647,6.900891,8.615600
2qc1,-62.78,286,15.532043,7.698607,13.281940
2omw,-28.54,566,12.560032,8.884589,9.599130
2qiy,-39.52,317,11.087133,6.433770,9.616659
2omx,-39.5,569,10.875065,8.596869,9.810515
2noj,-45.01,1344,10.995820,8.724592,8.029410
2rf9,-27.89,602,10.619563,7.019629,11.344037
2q0o,-44.67,643,10.577623,7.914777,9.230665
2r9p,-27.7,1128,6.847820,7.369156,8.240421
2oor,-44.58,915,14.208639,7.455198,11.665668
2phe,-27.53,158,7.059792,7.371352,8.086527
