PDB_ID	Î”G_kJ/mol	Avg_Bfactor_Total	Avg_Bfactor_Interface	complex_count
1fc2	-43.65	28.67	30.9	251
3sgb	-61.34	14.02	10.53	235
2tgp	-32.08	17.1	15.16	281
2ptc	-75.47	24.28	20.35	281
2sni	-66.77	12.83	10.02	339
1atn	-53.35	27.34	14.28	629
1gla	-38.5	27.93	26.13	650
1acb	-55.36	30.07	28.18	304
2pcc	-33.08	32.97	41.17	804
2pcb	-28.54	33.6	39.56	692
2sic	-57.92	20.43	18.44	382
2cpk	-49.3	19.17	14.47	353
1brs	-79.26	26.32	21.35	588
2btf	-32.18	20.25	17.4	512
1ppe	-65.77	14.26	9.75	252
1smf	-39.5	7.29	5.46	232
1rlb	-34.8	29.31	24.67	834
1mah	-60.51	35.44	28.9	594
1efn	-36.64	33.27	32.24	322
1ak4	-27.22	21.72	20.72	618
1gua	-42.23	18.68	13.42	243
1ycs	-42.94	53.4	56.53	384
1dhk	-59.68	17.94	16.06	690
1dfj	-75.51	49.29	50.33	580
1fle	-46.93	23.39	22.84	287
1b27	-79.91	27.76	23.42	587
1a22	-54.04	30.75	28.43	372
1b2u	-39.95	28.05	22.77	587
1xdt	-45.66	37.79	30.95	559
1b3s	-56.69	33.9	30.14	587
1axi	-44.83	27.73	30.17	366
1avz	-27.4	37.17	36.63	260
1a2k	-38.95	39.16	34.26	848
1b2s	-55.96	21.63	18.12	599
1wq1	-27.22	38.56	27.75	486
1avx	-75.47	26.56	16.67	395
1buh	-40.6	24.28	20.02	357
1an1	-51.63	26.46	21.59	262
1ldt	-49.91	20.07	16.65	269
1fmo	-49.3	42.29	32.17	356
1azz	-53.04	20.69	17.61	727
1bvn	-63.05	26.44	26.88	567
1ugh	-64.05	41.04	41.52	305
1vpp	-30.75	24.45	23.47	224
1b6c	-37.4	37.32	34.63	1732
1ibr	-54.35	41.84	32.11	1234
1flt	-50.61	30.61	32.06	382
1uug	-33.6	26.76	21.54	607
1lfd	-32.66	24.0	18.63	508
1kac	-44.69	44.89	42.59	309
1sbb	-22.0	41.99	38.43	950
1eer	-51.37	34.16	23.51	592
1tba	-51.37	0.0	0.0	247
1ay7	-34.25	22.72	18.59	185
1cn4	-34.25	41.02	18.86	589
1qa9	-34.25	77.02	76.34	394
1grn	-36.59	30.46	29.47	388
1vrk	-46.62	29.73	26.84	167
1cmx	-32.93	54.71	50.45	515
1es0	-42.23	36.33	30.59	372
1fg9	-57.08	60.66	51.17	862
1g9i	-39.5	20.88	28.75	245
1d6r	-56.43	21.65	15.71	281
1e4k	-32.93	95.36	77.44	604
1qty	-62.78	63.56	61.7	757
1du3	-44.51	25.51	28.15	1490
1e96	-31.78	29.95	21.98	363
1ees	-43.94	10.0	10.0	224
1emv	-77.74	26.43	23.36	214
1djs	-42.16	29.34	25.77	336
1dzb	-35.87	31.98	23.16	706
1f3v	-29.15	34.95	28.67	322
1g6v	-40.77	10.64	14.98	382
1clv	-51.37	18.22	17.59	502
1ezu	-57.63	44.29	37.97	726
1ezs	-55.62	38.38	30.61	696
1dp5	-51.63	26.34	26.03	360
1c9t	-51.37	19.7	13.62	1656
1c9p	-51.37	22.12	23.08	272
1dpj	-48.65	23.66	24.33	358
1fy8	-28.8	15.41	11.37	271
1i4e	-39.5	62.26	62.04	536
1f34	-57.08	41.82	33.26	463
1i8l	-38.24	71.81	51.62	634
1g5j	-52.64	1.36	1.22	200
1e6e	-34.62	29.4	34.1	1132
1ffw	-33.79	47.58	49.07	392
1gcq	-27.25	17.37	16.3	182
1e3u	-34.25	17.92	18.63	970
1i2m	-66.22	35.47	31.58	1107
1he8	-31.97	70.41	63.5	915
1hcf	-54.71	46.03	43.56	444
1ewy	-31.09	50.1	71.16	704
1ib1	-19.73	16.29	14.73	1620
1j7v	-59.68	50.36	41.04	355
1i4d	-31.52	56.78	43.97	550
1i5k	-42.1	40.77	36.94	211
1jiw	-65.06	18.41	12.72	575
1j7d	-32.53	32.42	31.6	289
1jtg	-56.84	23.77	21.43	853
1gl1	-56.43	31.54	31.19	817
1gl0	-51.92	24.51	40.83	273
1eja	-51.37	31.17	39.15	276
1f7z	-28.01	17.6	13.36	269
3tgk	-28.09	15.48	11.69	273
1jtd	-60.3	18.85	16.37	535
1f5r	-23.9	19.21	15.49	273
1gpw	-44.07	58.38	52.2	1360
1lzw	-36.99	46.84	39.54	237
1l2w	-54.35	48.16	50.33	1172
1go4	-34.15	63.93	54.45	1146
1jwh	-45.09	91.62	93.07	1075
1l4z	-38.28	51.75	46.44	373
1l4d	-38.28	28.65	26.35	361
1kxp	-51.37	37.25	27.1	787
1mxe	-68.49	16.46	14.78	338
1k93	-43.94	91.81	92.76	1884
1ktk	-26.82	76.03	77.09	1200
1kxt	-37.84	15.75	17.92	1857
1kgy	-43.39	43.28	42.37	1276
1kxv	-43.39	16.87	15.61	1232
1lj2	-26.08	28.7	33.43	265
1ktz	-37.31	44.74	36.37	188
1lw6	-66.77	10.33	9.8	344
1kxq	-48.26	16.43	15.55	2464
1kbh	-42.63	10.0	10.0	106
1h59	-42.42	36.98	29.78	99
1gng	-42.29	53.58	51.0	757
1kkl	-41.93	51.98	53.15	762
1eaw	-58.81	14.47	11.25	594
1lqs	-47.93	52.14	42.57	697
1gxd	-47.28	37.74	51.79	1631
1m10	-47.01	52.23	42.18	466
1jsp	-24.55	0.0	0.0	140
1l0x	-29.8	40.2	29.15	914
1l8c	-46.55	0.0	0.0	146
1m1e	-51.37	35.4	39.17	577
1l0y	-29.8	38.96	28.09	913
1jgn	-36.85	0.0	0.0	120
1ogy	-53.09	43.14	38.01	7336
1op9	-52.25	16.27	12.71	251
1p27	-52.25	22.52	20.68	472
1lx5	-50.92	68.76	62.92	198
1p3q	-33.79	28.26	34.43	224
1j2j	-33.41	15.37	12.68	206
1jh4	-33.24	0.0	0.0	120
1mzw	-32.57	12.94	10.94	204
1oqe	-39.74	40.45	54.4	1681
1nys	-45.66	76.94	65.4	343
1nyu	-45.66	95.7	78.97	320
1p9d	-27.91	0.0	0.0	110
1uad	-39.17	45.5	36.61	530
1otr	-21.74	0.0	0.0	125
1pjm	-38.5	46.53	45.36	447
1o9a	-34.25	0.0	0.0	117
1m5n	-49.53	61.37	60.95	513
1psb	-26.82	0.0	0.0	234
1pjn	-43.71	51.37	53.9	447
1h1v	-43.6	28.81	15.94	695
1q0w	-20.31	0.0	0.0	100
1r0r	-60.11	15.67	15.28	325
1lp1	-32.53	60.87	57.97	109
1ozs	-25.73	0.0	0.0	93
1mq8	-31.52	67.02	47.99	722
1q68	-36.52	0.0	0.0	67
1oey	-47.93	18.05	13.45	696
1h0t	-29.8	0.0	0.0	116
1pvh	-40.51	53.74	39.5	740
1q69	-34.51	0.0	0.0	48
1oc0	-51.37	26.5	25.4	401
1nvu	-31.07	35.09	37.75	801
1nf3	-41.67	28.38	23.87	634
1oph	-47.38	41.48	32.32	598
1nw9	-45.01	49.22	49.08	329
1pxv	-54.27	32.46	26.12	588
1mcv	-40.0	12.75	10.41	268
1oyv	-45.92	32.1	33.95	652
1rpq	-44.5	69.33	52.4	746
1xxf	-39.95	47.89	47.14	750
1rv6	-39.16	11.65	9.22	373
1xx9	-50.36	39.21	36.01	749
1xu1	-48.69	19.24	16.81	524
1xxd	-37.23	40.9	41.43	747
1ry7	-37.89	40.42	22.87	364
1u0s	-37.89	26.9	27.25	204
1xqh	-38.24	6.77	9.05	510
1pd7	-37.23	0.0	0.0	109
1xd3	-37.23	16.56	15.42	606
1t6b	-53.64	22.35	20.52	846
1us7	-32.79	36.57	22.33	401
1xr0	-28.54	0.0	0.0	151
1sv0	-45.4	39.71	32.59	319
1vet	-45.05	39.29	33.44	240
1veu	-45.05	31.1	26.59	237
1q5w	-22.26	0.0	0.0	107
1tdq	-45.21	34.09	24.46	397
1r8u	-45.01	0.0	0.0	150
1syq	-44.71	55.18	46.92	284
1sb0	-27.53	10.0	10.0	112
1tzn	-55.76	65.12	88.5	10262
1sg1	-38.42	50.28	43.01	361
1t44	-34.25	16.54	17.21	502
1th1	-49.53	49.54	53.26	1127
1xt9	-38.24	35.22	28.83	284
1vyt	-43.94	51.79	47.37	611
1w1w	-20.46	66.37	61.94	1539
1u7v	-37.26	67.79	73.74	598
1usu	-31.29	48.65	47.85	378
1usv	-31.29	54.66	58.57	1569
1uel	-31.21	0.0	0.0	143
1tlh	-20.11	0.0	0.0	157
1sq0	-42.94	40.53	37.59	463
1p6a	-42.56	44.73	39.81	309
1rkc	-42.29	113.85	124.67	284
1t01	-42.29	47.73	42.84	279
1oyh	-42.1	55.16	50.9	826
1rke	-41.67	56.48	51.38	438
1u7f	-41.3	64.39	71.02	583
1vg0	-47.38	31.93	28.38	663
1ty4	-46.77	43.82	37.79	362
1s4y	-46.59	32.75	30.31	393
1u0i	-40.84	36.97	36.55	42
1p69	-40.63	17.69	15.43	309
1shy	-40.22	55.95	52.83	727
1s1q	-18.84	30.66	28.33	418
1nm5	-41.22	43.36	37.31	892
1tm7	-65.53	17.35	18.11	345
1tm1	-65.77	16.03	17.76	345
1tm5	-61.47	15.03	16.57	345
1tm3	-61.19	15.25	17.08	345
1tm4	-56.43	18.85	20.88	345
1to1	-53.29	16.59	17.88	345
1uuz	-43.39	26.47	23.58	517
1te1	-48.34	27.73	22.42	464
1ta3	-45.92	10.73	9.55	575
1zjd	-52.48	61.84	53.48	294
1yc0	-49.65	28.04	18.11	313
1vyh	-40.51	17.43	17.51	5280
1z7x	-88.68	27.19	32.16	1172
1zhi	-38.24	59.99	40.64	320
1r6q	-36.99	27.47	33.69	471
1wlp	-35.35	1.7	0.8	163
1zm4	-34.3	52.23	33.1	3087
1y8n	-33.86	62.34	56.72	471
2c1m	-51.13	43.18	47.53	470
1ydi	-49.94	14.55	15.32	280
2b4j	-45.45	36.81	33.31	444
2b0z	-22.83	28.77	25.49	402
1v18	-45.66	47.18	46.92	544
1z92	-45.66	80.93	80.65	244
2ajf	-45.66	90.96	83.61	1542
2b10	-28.54	19.13	23.7	804
1wa8	-45.43	0.0	0.0	194
1x1y	-27.95	29.25	24.93	594
2a7u	-39.5	0.98	0.66	127
1x1u	-44.97	36.32	29.31	596
1wdw	-44.77	72.13	80.56	3760
1wr1	-27.57	0.0	0.0	134
1t63	-27.53	37.92	48.07	264
1x75	-44.27	39.15	30.76	451
1y6m	-38.6	75.73	72.81	346
1yd8	-21.36	46.51	43.59	332
1y6k	-51.37	54.17	46.42	350
1yru	-51.37	34.75	30.72	420
2bp7	-51.37	35.93	30.23	2980
2c1t	-49.65	52.96	51.96	921
2byk	-32.18	66.1	59.63	319
2bym	-32.18	38.31	33.35	298
2be6	-48.97	31.55	31.85	483
1ri8	-48.73	15.94	12.68	253
2b12	-26.82	5.58	3.04	402
2bqz	-26.82	12.29	12.25	340
1wr6	-20.76	52.23	50.86	641
2aw2	-43.39	64.29	60.43	417
1t0p	-26.27	21.91	19.56	260
1x1w	-43.26	37.24	30.63	596
1y6n	-43.2	43.08	37.03	339
1vrc	-25.95	0.2	0.69	428
1t5z	-25.58	39.2	54.2	261
1yx5	-19.73	0.0	0.0	188
1xj7	-25.16	56.74	76.19	265
1u5s	-14.4	0.82	0.58	137
1shz	-31.52	57.69	52.57	1037
1wrd	-19.34	24.22	21.99	174
1zc3	-42.1	35.56	30.79	564
1zc4	-42.1	43.46	34.5	572
1x1x	-41.53	34.73	27.6	596
1pk1	-41.48	25.51	21.13	267
1xg2	-47.38	17.07	15.36	468
1y76	-30.26	0.0	0.0	244
2b11	-30.26	41.68	42.71	804
1xqs	-29.61	68.89	56.46	858
1ul1	-41.22	59.1	50.7	1743
2a78	-41.22	16.62	12.52	377
2a9k	-41.22	20.57	16.87	377
2c5d	-46.93	62.86	46.83	1146
1zsg	-29.25	0.0	0.0	87
1zmy	-46.34	33.28	32.76	391
1z0k	-29.19	31.72	31.27	459
1yx6	-23.61	0.0	0.0	188
1rjc	-57.72	15.53	14.09	252
1wve	-46.55	21.36	18.46	1180
1wqj	-34.61	28.19	26.44	142
1wa7	-28.64	0.0	0.0	82
1y3c	-60.51	15.85	16.38	345
1y3b	-54.27	15.93	17.15	345
1y1k	-54.35	16.55	18.04	345
1y34	-52.99	14.63	15.82	345
1y3d	-52.81	17.92	18.74	345
1y4a	-50.92	16.1	16.03	338
1y4d	-50.92	26.55	25.15	339
1zli	-50.72	22.59	21.04	380
1y33	-50.05	15.76	17.54	345
1y48	-50.05	17.2	18.6	345
1wpx	-49.91	38.18	35.81	625
1zr0	-45.01	36.74	31.42	572
2bo9	-48.65	16.03	14.55	1048
2hev	-42.86	42.47	38.85	266
2gng	-31.52	37.16	32.6	358
2gww	-56.84	80.57	77.04	281
1zvy	-57.08	17.81	13.07	254
2cjs	-39.95	29.75	23.63	373
2f6a	-38.24	63.65	51.61	1331
2dx5	-19.87	19.92	14.36	172
2b7c	-36.52	25.6	26.58	527
2f5z	-51.99	41.38	47.59	4930
2fu5	-52.25	44.34	30.86	517
2ixq	-35.13	0.0	0.0	285
1yk0	-51.47	54.2	62.66	809
2f9z	-34.51	47.02	44.79	691
2b42	-51.2	39.3	31.94	548
2j1k	-51.13	34.02	33.45	3623
2g2u	-33.69	22.54	24.05	430
2i32	-33.6	53.06	46.37	345
2d10	-50.05	38.42	56.44	1266
2b87	-39.95	0.0	0.0	116
2f31	-39.9	34.64	34.89	248
2hth	-22.71	59.68	57.68	202
2c0l	-39.74	36.02	29.87	414
1zv5	-45.66	35.58	27.44	248
2aq2	-45.43	28.66	23.83	344
2fdb	-38.87	22.01	15.38	685
2ftm	-61.62	16.99	11.95	281
2den	-27.22	6.11	5.9	122
1yrt	-51.37	27.32	24.63	420
2g45	-31.68	40.93	32.77	386
2fyl	-31.69	2.82	3.39	163
2hd5	-31.69	22.61	17.97	391
2j12	-43.94	13.95	13.27	302
2hwn	-49.65	38.39	36.94	206
2few	-13.88	0.16	0.51	240
2fuh	-20.11	0.0	0.0	222
2a24	-25.82	0.42	0.68	215
2dsp	-31.52	42.18	40.89	148
2hle	-42.23	56.81	52.54	321
2djy	-25.1	0.0	0.0	62
2h4m	-42.1	73.72	66.93	1687
2arp	-36.34	40.49	33.84	253
1yk1	-41.89	72.62	94.4	809
2fju	-30.11	32.48	34.58	873
2aq1	-47.14	45.18	33.08	1380
2g2w	-35.59	22.47	22.27	429
2es4	-47.38	34.41	30.24	1176
2c7m	-29.64	66.79	64.46	132
2c7n	-29.64	44.84	43.45	765
2hsq	-46.69	157.51	157.85	284
2ftl	-75.47	15.19	9.65	280
2f4m	-41.02	47.91	45.75	356
2aq3	-29.22	45.42	33.24	1376
1zvh	-40.84	17.5	11.26	251
2iy1	-34.84	59.4	57.5	618
2bwe	-23.38	82.88	80.79	1047
2a9h	-34.51	85.45	51.29	424
2gh0	-40.22	37.36	36.48	598
1zgu	-22.88	20.51	18.33	215
2hrk	-45.92	34.51	29.96	298
2j7p	-45.66	29.3	25.58	1107
2j0t	-53.64	44.88	43.74	854
2abz	-48.82	32.48	28.65	826
2o3b	-65.61	46.62	42.49	376
1yvb	-46.73	52.13	41.82	352
2j8x	-46.21	24.1	25.38	623
2omy	-38.24	10.87	10.66	566
2qxv	-36.64	16.9	18.93	381
2oin	-35.92	42.93	35.87	369
2odg	-35.55	0.22	0.75	225
2omu	-52.64	13.13	13.19	567
2o98	-51.77	50.7	49.46	573
2gox	-51.92	43.34	49.2	724
2i9b	-51.47	68.48	67.56	1514
2ifg	-51.63	93.74	44.85	911
2nyz	-51.63	59.9	62.95	869
2pkg	-34.1	72.91	61.18	1318
2i25	-51.37	38.49	36.13	489
2qej	-51.13	32.72	25.21	803
2omv	-50.92	18.02	18.15	564
2pon	-33.41	0.0	0.0	179
2ot3	-32.79	29.82	21.11	410
2pms	-45.59	31.72	29.48	880
2ju0	-39.95	0.0	0.0	227
2omt	-39.95	17.65	15.85	567
2q7n	-62.78	102.52	99.32	1320
2qc1	-62.78	30.94	18.76	286
2omw	-28.54	16.0	18.25	566
2qiy	-39.52	28.69	29.93	317
2omx	-39.5	12.29	14.91	569
2noj	-45.01	48.65	34.08	1344
2rf9	-27.89	68.32	64.56	602
2q0o	-44.67	39.45	40.84	643
2r9p	-27.7	22.62	17.65	1128
2oor	-44.58	57.78	42.75	915
2phe	-27.53	10.0	10.0	158
2rmk	-38.64	0.0	0.0	273
2ij0	-55.62	45.89	43.12	621
2p4a	-55.62	30.65	26.72	490
2jgz	-17.12	36.86	29.33	548
2p1l	-32.18	60.4	64.37	660
2oza	-49.1	72.82	72.95	672
2i3t	-31.78	58.18	60.88	1484
2ot8	-43.94	93.53	84.95	1674
2ra3	-61.07	22.66	18.97	562
2v8s	-26.58	33.63	25.68	230
2p49	-43.6	14.77	12.71	242
2j8s	-43.11	42.79	36.55	3426
2v6x	-25.99	19.82	22.06	119
2yvj	-20.16	40.53	41.91	909
2hqw	-49.65	35.18	37.82	160
2iou	-31.16	69.53	74.24	3272
2i3s	-31.07	39.41	33.1	1102
2iyb	-31.07	28.11	28.17	705
2psm	-60.06	35.12	29.87	371
2iwg	-42.42	70.88	63.89	776
2z3q	-59.48	14.63	10.94	389
2z3r	-59.48	11.14	8.1	1534
2vda	-31.52	10.0	10.0	856
2pop	-30.69	85.17	78.5	810
2z8w	-47.53	58.31	57.7	902
2z8v	-47.48	61.23	58.4	902
2omz	-36.52	11.93	14.67	571
2ihs	-42.23	46.02	46.43	433
2jt4	-25.1	0.0	0.0	147
2ptt	-30.81	20.25	18.49	211
2j59	-41.44	22.83	22.97	1669
2oob	-24.22	20.23	17.16	116
2v3b	-30.26	29.5	30.83	434
2qho	-24.1	15.62	14.18	488
2onl	-46.93	99.77	99.9	1307
2ibf	-46.28	74.28	79.93	302
2v9t	-46.15	21.29	19.68	317
2uyz	-40.45	12.31	13.26	234
2px9	-23.16	1.94	2.14	375
2i26	-45.81	29.94	27.31	736
3biw	-40.03	132.7	121.04	2840
2o8v	-34.01	55.91	59.34	337
2g81	-44.9	17.99	14.66	279
2nz1	-44.2	37.64	33.38	1305
2jod	-36.85	1.33	1.64	139
2nqd	-59.41	18.42	15.37	330
2uuy	-47.1	10.17	7.96	275
3c5t	-54.35	38.13	35.45	129
2z7f	-46.73	19.81	14.82	268
3brt	-44.2	42.88	41.54	205
3brv	-43.54	16.0	14.52	204
2qur	-37.68	41.35	37.94	358
3c59	-49.1	54.26	51.61	128
3ehu	-31.29	29.9	31.2	914
2za4	-56.24	21.02	18.89	390
2vdb	-56.07	44.66	43.06	629
3dxc	-38.0	40.74	37.1	307
2k05	-38.24	37.44	37.85	206
3dvu	-38.24	66.1	60.45	309
2roz	-37.07	0.0	0.0	168
3dxe	-36.99	41.77	37.89	308
3dxd	-36.92	50.72	46.15	307
2vlp	-70.01	19.57	17.07	216
2jti	-35.56	15.86	13.93	397
2jzn	-18.84	0.75	1.51	431
1vsq	-18.84	0.75	1.51	429
3ddc	-34.89	25.77	23.92	299
2vof	-52.25	31.18	30.99	332
2vlo	-68.78	21.81	18.6	222
2z34	-34.54	32.19	27.49	347
3c4m	-34.3	39.13	39.26	978
3f5c	-34.51	117.03	99.64	607
2v51	-34.25	35.53	36.48	759
2qja	-51.13	77.75	77.33	386
2voi	-51.13	55.94	53.5	174
2v4z	-33.69	53.82	53.23	438
2jjt	-33.79	32.74	27.97	455
2jjs	-33.79	20.53	20.46	465
2jki	-33.02	53.37	50.6	921
2vln	-67.21	14.64	14.21	214
2v52	-32.66	23.02	23.76	390
2p45	-39.59	15.23	11.52	240
2p46	-39.59	31.76	27.83	472
2p48	-39.59	47.62	40.23	240
2p47	-39.59	89.59	88.05	239
3ch5	-22.38	36.45	37.86	230
3eg5	-33.69	53.16	50.05	1030
3eab	-28.09	53.67	44.9	759
2ver	-27.87	1.75	1.93	253
2rms	-39.23	0.0	0.0	132
2q5d	-44.56	83.52	62.87	1775
2p8q	-44.56	48.09	49.37	912
2rnr	-38.95	0.0	0.0	170
2z58	-44.5	23.8	23.08	384
2k6d	-21.5	37.84	41.6	138
2otk	-44.35	0.0	0.0	111
3d5r	-44.07	41.12	39.61	724
2voh	-51.37	25.18	24.31	179
3dgc	-51.37	39.93	35.02	691
3d5o	-34.25	51.45	61.44	1191
3eba	-49.24	28.52	26.07	252
3e2u	-32.18	73.39	69.74	383
2qj9	-49.2	88.26	87.27	386
2k3s	-31.78	0.0	0.0	186
3eoy	-48.82	62.23	61.81	1577
2p44	-43.94	23.94	20.5	237
2jy6	-26.82	0.0	0.0	128
3bn3	-26.82	52.89	49.91	376
2vog	-38.11	28.82	27.67	167
2vlq	-60.74	12.17	11.13	218
3bk3	-43.71	56.3	54.06	342
2p43	-43.6	17.6	14.96	244
2p42	-43.6	19.6	15.02	484
3d5s	-43.29	42.57	43.02	724
3blh	-37.23	75.18	65.28	546
3ech	-37.23	15.0	14.39	288
3d7u	-25.82	191.03	179.2	1020
3cx8	-36.92	32.32	27.8	512
2k42	-42.56	0.0	0.0	108
2vsm	-42.56	14.6	13.07	550
2k2u	-36.78	0.0	0.0	150
2efh	-42.49	34.7	26.58	796
3c66	-31.52	54.75	59.94	1105
3bp8	-47.85	44.24	43.11	911
3dvm	-47.74	58.11	66.96	162
3c4p	-47.7	23.66	22.04	430
3cqx	-30.52	34.03	35.12	918
3c4o	-47.59	22.03	20.11	430
3cx6	-30.36	40.74	39.08	505
2qjb	-47.43	81.85	81.65	382
2jtt	-30.31	0.0	0.0	242
2vyr	-41.99	28.25	23.81	1336
3ejj	-36.2	67.35	38.6	565
3cqc	-47.93	77.32	54.26	433
3cqg	-47.93	79.76	67.62	409
2k5b	-30.81	10.0	10.0	339
2ve7	-30.81	65.72	66.52	1010
3beg	-41.67	117.65	113.11	434
3cx7	-35.87	42.87	42.25	512
2efd	-46.44	74.66	61.78	796
3c9a	-46.31	22.41	23.06	511
2vay	-46.25	34.43	35.12	167
3d7t	-23.71	108.09	85.64	514
2v5q	-40.8	34.3	31.71	829
3crk	-29.0	53.2	73.02	903
2qna	-40.42	31.25	30.86	774
3bik	-29.09	67.94	63.62	446
3bs5	-40.15	31.99	31.14	157
3bh6	-40.08	35.88	32.5	475
3bx1	-33.6	33.57	29.09	900
3d1m	-33.6	33.07	31.28	484
3b4v	-60.06	40.24	32.31	1280
3fju	-50.2	10.4	9.18	372
2oul	-50.05	22.69	19.47	348
3ixe	-33.9	14.08	10.37	241
3iol	-37.68	15.8	12.41	126
2w84	-40.84	0.0	0.0	77
3da7	-39.3	37.74	32.91	774
3fp6	-74.2	12.98	8.56	281
2wjv	-38.24	21.85	23.49	1654
3inb	-38.24	159.04	154.33	1044
2kbw	-37.07	0.0	0.0	191
2khs	-36.78	0.0	0.0	156
2wel	-37.23	19.95	21.57	449
2w83	-36.4	31.44	25.27	613
3g3a	-36.34	25.87	23.04	1168
3gty	-53.24	49.99	58.79	561
2zvk	-36.52	32.47	28.51	777
2k79	-18.12	1.07	1.19	171
2k7a	-18.12	1.0	1.0	171
3idc	-52.64	57.32	52.81	501
2wp0	-34.43	47.94	38.51	532
3knb	-34.4	26.38	25.58	194
3h3g	-34.27	44.85	43.96	493
3ew3	-50.92	107.93	91.69	569
2wy2	-16.47	0.0	0.0	412
3hcu	-33.27	79.3	74.28	509
3hct	-33.27	40.77	33.57	252
2zvo	-33.08	50.61	38.75	471
2zvn	-33.08	77.64	63.68	931
2k8c	-15.67	1.35	1.47	156
2k8b	-15.67	1.44	1.43	156
3htu	-32.79	32.05	23.23	439
2wo2	-28.35	49.88	39.29	314
3k8p	-45.66	61.29	53.49	869
3idb	-45.36	23.81	20.13	492
3eiq	-39.72	55.84	52.75	1013
3ifq	-39.59	91.77	93.18	1258
2knb	-28.3	0.67	1.0	138
3hh2	-45.15	24.86	19.39	771
3h2u	-27.97	64.03	53.47	915
3f1p	-22.38	18.52	20.72	225
3gni	-45.21	28.59	27.48	639
3ff8	-22.18	32.09	23.8	425
2wqz	-39.27	72.52	71.26	1443
3hpw	-27.89	13.17	13.29	235
2w19	-39.12	29.98	31.13	983
2wfx	-44.83	74.54	73.34	570
3hg0	-44.5	50.04	39.07	523
3di2	-27.08	45.14	38.57	616
