PDB_ID	Î”G_kJ/mol	Avg_Bfactor_Total	Avg_Bfactor_Interface	complex_count
3g9v	-68.49	39.42	33.46	613
3kv4	-34.25	25.68	21.47	444
3gc3	-32.41	24.3	23.57	678
2wo3	-32.18	43.67	40.72	318
2k8f	-31.78	0.0	0.0	129
2kc8	-38.24	0.0	0.0	128
3ff7	-21.11	28.15	23.43	419
3gxu	-38.2	20.57	17.52	309
3doe	-43.94	37.88	36.79	303
3g7z	-61.07	25.75	26.22	269
3fhc	-43.75	42.37	45.75	605
3di3	-43.82	81.89	71.78	311
3h8k	-43.82	33.48	30.74	192
3h2v	-26.57	55.74	54.94	977
3ho5	-38.0	96.76	88.4	1051
3jvf	-37.3	110.29	101.89	478
3etb	-60.15	13.5	11.76	1489
3gqi	-42.7	80.48	78.12	530
3g3b	-42.63	44.87	42.08	1065
3g9w	-25.36	32.08	34.98	500
3gj8	-31.52	35.65	33.94	461
2zxx	-47.7	57.35	52.75	644
3it8	-59.17	74.16	59.22	2706
3gj5	-24.7	43.27	44.92	454
3f7p	-24.6	82.53	93.15	1069
3gj3	-24.6	35.32	32.5	229
2w81	-47.93	42.43	38.99	1083
2w80	-47.93	40.48	39.06	1467
3gj7	-30.81	54.97	54.01	457
3kls	-47.14	156.44	173.35	3482
2ka6	-41.57	0.0	0.0	137
2k2s	-41.53	0.86	0.91	191
2ka4	-41.3	6.0	6.0	157
3ejh	-30.26	52.53	44.88	210
3gb8	-29.61	44.54	22.19	1227
3gj6	-29.61	88.25	142.16	229
3gj4	-29.57	50.99	51.74	453
2kj4	-41.02	0.0	0.0	119
2wg3	-40.71	19.99	20.14	1120
2wg4	-40.7	66.52	60.99	566
2wwx	-40.54	13.53	10.53	370
2k3u	-46.09	12.51	12.87	111
2kde	-28.83	7.9	9.03	263
2wx0	-29.09	43.89	32.2	351
3ia3	-40.13	83.08	74.33	450
3bzd	-22.93	18.22	14.75	343
2kgx	-28.8	10.0	10.0	265
3gmw	-58.8	26.12	24.19	832
3fxd	-43.94	30.95	34.19	214
3fsh	-47.38	62.82	52.6	355
3h8d	-40.51	31.95	27.93	614
3e1z	-59.61	25.97	24.09	321
3h6s	-57.63	31.83	25.1	1480
3fii	-49.78	39.3	44.45	429
3fie	-51.37	22.38	26.61	875
3k9m	-49.65	42.44	43.32	704
3e2l	-58.0	29.51	25.14	839
3e2k	-58.0	35.02	32.45	843
3g7a	-45.92	37.74	37.17	66
3f50	-45.92	83.53	80.06	60
3n00	-39.72	49.47	46.33	205
3mc0	-39.4	36.6	29.94	673
3fpu	-56.62	31.86	28.54	166
3laq	-55.76	33.82	32.56	767
2wpt	-39.95	26.11	19.45	195
3ogo	-54.19	34.88	35.37	1369
3l9j	-54.04	28.26	24.29	279
3mca	-36.58	67.74	53.66	718
3kuc	-36.27	26.21	21.46	243
3o6q	-53.29	62.11	63.64	368
2kwj	-35.96	0.0	0.0	133
2wp3	-34.82	15.55	15.46	196
2wwk	-33.63	8.76	9.13	198
3oky	-33.6	50.27	42.04	1149
3ma2	-33.19	24.81	21.68	575
3kud	-32.93	39.46	38.74	241
3m0a	-32.93	82.86	61.34	260
3osl	-49.91	37.68	33.34	740
3k75	-39.72	51.86	41.02	791
3kz1	-39.72	71.51	65.45	1075
2xb6	-39.61	24.38	25.59	1424
2kxh	-27.7	0.0	0.0	230
3k6g	-44.42	31.0	26.88	371
3oak	-38.65	62.61	64.94	362
2x1w	-44.5	69.81	65.84	1154
2x1x	-44.5	53.83	56.34	304
2l0f	-21.49	0.0	0.0	121
3m63	-38.57	42.9	43.5	1025
3m18	-55.62	29.21	24.86	372
2kwi	-38.44	0.0	0.0	234
2wh6	-44.2	27.26	30.95	179
2rr3	-32.41	0.0	0.0	172
3onw	-49.3	62.5	66.15	702
2kwk	-32.18	0.0	0.0	134
3mjh	-32.08	36.07	37.4	402
3mhp	-31.74	16.21	12.87	611
3a4s	-31.69	42.69	45.19	446
3ohm	-38.24	76.5	69.1	1077
3hug	-43.94	46.68	45.48	1363
3ncc	-3.85	39.96	34.61	392
3kyi	-20.9	85.67	88.85	231
2xdf	-26.7	362.34	625.71	1316
3o6b	-37.92	114.14	115.11	1272
2wd5	-43.71	49.11	42.9	368
3mzw	-60.83	57.08	45.74	622
3ouw	-43.6	79.33	72.27	524
2ktf	-26.47	0.0	0.0	108
3l89	-37.37	58.27	61.46	3715
3nvq	-37.34	66.65	46.19	2124
3kj2	-49.65	44.27	31.85	173
3kj1	-49.65	42.41	32.18	174
3kj0	-49.65	21.57	19.79	181
2wvw	-32.53	0.0	0.0	5416
3npz	-31.4	60.79	49.79	587
3n06	-14.32	41.7	35.74	392
2l14	-31.44	0.0	0.0	108
3m9d	-31.21	153.98	178.04	2418
3oiq	-30.94	56.54	48.56	213
2xgy	-25.82	33.15	30.35	294
2xqr	-42.86	31.48	24.15	4098
2xa0	-42.54	40.12	40.31	326
3oux	-42.56	66.2	62.57	550
2wy8	-36.78	22.71	21.39	358
3kw5	-36.61	123.05	119.75	298
3jza	-65.77	22.01	17.97	361
2x9a	-30.57	59.49	52.28	302
3mzg	-13.15	40.59	32.49	392
3ajb	-42.18	53.05	63.45	319
3lbx	-36.52	29.65	26.94	322
2kwo	-24.71	0.0	0.0	133
2kri	-24.76	10.0	10.0	120
3im4	-41.77	53.54	57.72	126
3n0p	-13.08	34.06	26.51	392
3ol2	-30.02	74.8	71.54	1110
2kvq	-24.55	0.0	0.0	139
2kwu	-24.5	0.0	0.0	112
2kqs	-24.3	3.48	0.97	117
3mj7	-30.26	67.12	58.78	418
2x2d	-29.76	33.07	29.92	609
2l0t	-23.94	1.45	1.31	239
2wy3	-40.98	32.76	33.54	610
3lb8	-23.86	75.5	80.49	1043
2kyg	-40.95	0.01	0.01	138
3me2	-58.03	58.31	64.73	322
3k2m	-46.55	26.86	26.4	399
3egg	-46.01	25.62	25.18	814
3kbt	-45.84	33.25	28.82	886
3gs2	-45.87	31.08	25.19	276
3nvn	-45.81	46.64	34.77	857
3ixs	-40.22	35.06	32.25	812
2kwv	-23.09	0.0	0.0	112
3ncb	-5.89	39.09	33.87	392
3k1r	-51.37	25.26	22.41	266
2wus	-30.26	46.61	25.86	837
3lms	-50.92	55.14	48.05	383
3l33	-39.19	44.29	42.73	1104
2xtt	-61.07	9.87	7.91	258
3kz0	-37.46	48.14	37.69	334
2yj1	-45.01	32.62	34.0	321
3qbr	-42.63	70.44	66.27	371
3zrz	-60.06	22.38	20.94	214
2xqw	-38.5	53.37	47.92	711
3p71	-36.64	43.66	38.77	618
3alz	-35.87	271.54	266.06	526
3au4	-35.82	39.63	51.37	556
3tac	-35.73	53.77	47.98	616
3ry6	-18.84	34.48	43.27	595
3oed	-35.96	77.91	73.35	848
3ona	-35.2	76.56	63.37	224
3syn	-35.51	30.16	22.73	1096
2y8s	-51.4	33.01	35.38	848
3qbt	-34.51	39.82	39.26	1217
3n4i	-51.13	19.58	19.63	430
3qhy	-68.26	20.64	17.12	529
3rt0	-33.79	36.27	34.23	972
3noc	-50.36	62.38	64.48	3391
3o5t	-33.24	23.92	22.88	395
3qq8	-33.24	37.91	30.61	257
2kxw	-45.66	0.0	0.0	100
3qc8	-28.26	46.69	44.67	250
2xze	-39.65	28.2	26.45	322
3qlu	-45.43	46.21	42.86	1498
2xbb	-28.3	48.92	48.41	904
3rbb	-45.15	48.1	45.65	378
2l2l	-45.13	0.0	0.0	79
3onl	-28.09	38.28	36.24	371
3oj2	-39.3	48.07	43.59	688
3ojm	-39.3	24.81	21.84	356
3qml	-45.01	67.73	56.78	1282
2y8t	-44.79	22.81	22.78	855
2xpx	-38.95	46.97	50.75	176
3zs9	-38.95	34.98	34.75	661
3zwl	-38.79	39.86	43.6	769
3b08	-27.19	23.69	24.35	836
3rea	-38.51	54.48	44.01	372
3q9n	-44.35	27.48	26.94	588
3sja	-44.35	76.98	67.45	2002
3sua	-26.96	124.77	93.74	2048
2l9s	-32.29	0.0	0.0	139
3owt	-31.98	48.38	54.5	316
3sf4	-49.2	47.69	44.06	1183
3rdz	-48.92	30.85	23.78	574
3sgk	-48.73	64.46	54.23	586
3r4d	-43.78	67.3	60.4	856
3nog	-43.66	80.11	89.33	3382
3qbq	-37.89	62.14	51.53	638
2kt5	-25.99	0.0	0.0	164
2y9m	-49.65	46.87	40.82	283
3aon	-48.49	41.53	35.16	279
3r9a	-31.14	31.68	31.01	1355
2xhe	-48.0	104.75	103.05	787
3t6g	-42.94	100.47	99.45	837
3sjd	-42.86	344.87	386.78	919
3oxu	-25.5	35.61	29.89	1252
3q4f	-30.75	267.87	278.29	1536
3qs7	-42.23	168.72	149.61	1627
3r85	-25.02	36.74	36.72	633
3pvm	-42.1	192.8	185.49	5704
2x89	-41.99	60.77	57.89	744
3q9u	-47.28	40.02	37.38	589
3s8v	-41.67	87.12	78.14	1277
3zs8	-41.62	111.96	103.38	705
3t1q	-30.26	39.91	36.1	443
3uyo	-29.49	25.55	23.94	208
3rzw	-40.91	38.97	38.29	331
3rgf	-46.53	44.81	46.95	587
3zyi	-46.44	58.73	52.11	698
3zyj	-46.25	102.08	109.14	1444
3sku	-40.84	146.19	139.03	1219
3s2k	-40.79	60.47	58.97	1298
2l1l	-46.55	1.75	2.2	154
2xns	-34.77	109.15	111.03	710
3qht	-40.45	49.08	44.05	338
2ld7	-45.87	0.0	0.0	169
3olm	-23.08	60.73	74.42	486
3qsk	-40.19	21.19	13.23	242
3reb	-40.06	131.92	113.43	339
2ygg	-43.94	51.02	49.94	212
3t04	-41.57	23.04	17.43	201
3ay4	-41.22	42.32	37.16	591
4a1u	-35.77	21.88	22.35	163
3qtl	-50.48	33.78	42.8	892
3o40	-50.54	29.88	30.32	226
3p95	-33.24	18.62	14.6	282
3pnr	-45.23	63.22	54.41	369
3zv0	-22.59	59.84	61.81	963
4a94	-64.55	19.14	15.59	706
3p92	-46.97	15.23	10.71	282
3o43	-45.92	42.76	43.21	223
4eah	-51.77	105.72	91.68	2852
3ujg	-34.65	56.45	47.71	605
3ukx	-60.06	32.78	29.95	449
3ro2	-41.88	53.25	67.83	350
4di3	-41.22	117.68	126.1	1439
3uzq	-57.57	33.69	29.16	329
2lxm	-57.63	0.0	0.0	199
3v6b	-37.4	117.1	108.16	281
3tsr	-89.6	25.42	29.24	2305
4eee	-55.36	60.52	56.67	518
4b1v	-37.07	20.51	25.45	763
4etp	-36.71	70.0	62.66	666
4g59	-36.4	51.66	48.85	853
3uzv	-53.46	60.95	58.73	326
3tkl	-36.34	32.09	34.69	363
4auo	-36.52	33.92	29.01	912
4dbg	-35.87	50.8	48.09	228
3uz0	-35.68	79.22	70.65	503
4dt1	-35.68	40.67	31.91	404
3tei	-35.96	56.91	68.97	356
3u9d	-35.96	32.81	32.48	756
4ft4	-35.96	73.98	103.4	1391
4apf	-35.31	115.72	96.91	605
3twi	-35.51	47.03	39.25	859
3ux9	-52.09	62.17	58.01	720
2luh	-35.13	0.0	0.0	226
4afz	-51.63	51.1	46.22	560
4dra	-33.86	44.69	41.64	677
4ehq	-33.6	21.6	21.84	165
3u9z	-33.18	29.9	32.93	377
4dm6	-33.24	33.7	34.41	502
4dm8	-33.24	40.52	36.34	493
4dxa	-32.79	41.03	40.1	470
3qt2	-49.78	80.27	69.16	1051
2lpb	-28.51	10.42	10.32	115
4hcn	-22.67	20.67	15.03	322
3ul4	-45.34	35.01	25.81	205
3zuv	-39.56	60.76	63.51	958
2lvo	-27.93	10.0	10.0	128
2lkm	-45.21	0.0	0.0	214
4fzv	-44.95	60.77	43.95	568
2lvp	-27.81	10.0	10.0	204
3vyr	-39.12	48.6	48.21	443
2l29	-44.61	1.93	1.85	209
3zwh	-33.18	23.01	21.17	235
4f9p	-44.66	126.43	115.19	859
3vhx	-27.53	56.06	49.19	1050
3sri	-38.71	28.89	36.68	311
3p9w	-44.5	39.92	39.3	875
3u82	-44.33	193.82	211.78	531
3v4y	-44.23	36.57	42.36	1340
4g6u	-44.23	47.66	43.63	365
4g8a	-55.54	48.01	39.96	1486
2lox	-38.36	0.0	0.0	135
4h6j	-38.36	24.13	23.42	217
3t0y	-38.32	36.61	39.1	313
3u43	-85.62	16.41	12.23	224
4eoz	-34.25	86.03	79.46	797
4giq	-32.42	44.03	28.43	319
3ul0	-49.3	36.29	30.98	449
4b93	-32.18	49.34	48.43	348
4eqa	-49.18	24.72	18.73	592
3ukz	-49.2	27.48	22.97	450
4afq	-49.2	26.29	23.55	566
4aqe	-32.08	24.34	21.97	444
3uez	-66.22	79.71	70.72	1307
3vpj	-48.84	53.23	43.78	1172
3ul1	-48.91	39.74	33.59	447
3ula	-48.78	87.33	87.64	832
4f38	-48.73	37.34	33.81	382
2lqc	-31.61	0.0	0.0	101
4apx	-31.61	22.39	19.56	446
3zwz	-43.91	18.63	22.33	333
4ap2	-43.94	90.17	85.91	625
4g6v	-43.81	39.32	39.12	936
2lp0	-26.56	0.0	0.0	80
2lvq	-26.52	10.0	10.0	204
3qwq	-49.65	63.11	38.63	713
4ayi	-49.65	54.88	48.35	482
4etw	-31.44	46.37	62.14	660
4f48	-31.36	24.98	29.27	338
2leh	-48.41	0.0	0.0	215
3u8x	-31.21	24.46	26.44	756
3sjh	-31.21	18.22	25.52	379
3tl8	-31.14	63.82	61.76	1560
4dh2	-42.73	34.22	28.17	456
4aye	-31.26	46.83	41.83	1091
2ly4	-36.88	0.0	0.0	130
4dge	-25.2	18.9	19.71	609
3uyp	-30.75	37.56	38.21	322
2y5b	-30.69	21.46	17.11	940
4a49	-24.98	53.42	48.31	222
3qi2	-41.93	65.96	68.63	695
3qbv	-36.08	54.45	42.61	950
2lp4	-13.69	0.0	0.0	353
2lnk	-47.93	1.46	0.79	241
2lfw	-47.1	0.0	0.0	219
4gh7	-47.02	58.17	54.06	901
4exp	-35.96	85.97	60.52	454
3tu3	-41.35	37.29	39.89	645
3oun	-41.3	24.79	19.83	347
4a1s	-47.38	42.12	36.99	746
4ag2	-46.85	27.3	24.51	565
3zu7	-46.69	31.09	32.03	498
4f9l	-40.98	85.45	76.73	891
4did	-29.8	58.23	46.83	306
4ds8	-29.19	26.96	21.3	471
4ayd	-34.74	40.22	35.6	1084
2lqh	-23.23	0.0	0.0	139
3uze	-46.21	37.22	39.1	623
4hcp	-28.69	19.3	18.48	320
4dkd	-40.11	97.02	83.53	593
4dj9	-39.98	70.84	67.1	265
3ukw	-56.84	28.21	22.94	448
4f0a	-32.08	101.97	129.86	412
4dcn	-31.29	51.65	42.98	719
4dvg	-31.52	79.72	72.39	458
3uir	-53.43	29.84	23.87	601
4gi3	-52.33	21.43	20.83	331
3tg1	-34.22	88.16	74.15	464
3v96	-51.13	47.2	34.36	323
4dzv	-45.43	45.28	50.8	215
4dg4	-31.78	16.28	12.87	1128
4an7	-48.49	44.9	35.44	379
2yq7	-42.56	24.55	27.05	163
4g35	-41.48	27.27	22.23	147
4hx3	-46.93	58.17	47.74	1466
4ksd	-37.59	127.75	135.87	1300
3tz1	-39.1	32.14	29.7	95
3w8h	-38.73	20.8	15.22	256
4k0a	-55.62	47.68	49.92	361
4kbb	-38.5	24.79	23.92	867
4hgk	-55.49	85.69	61.22	1172
4gn4	-37.65	34.28	31.08	237
4bpx	-37.68	218.66	196.68	1147
4c4p	-37.68	38.46	26.38	223
4hff	-54.62	41.23	35.8	251
4hfk	-54.62	15.88	12.17	515
4kt3	-54.71	23.39	20.13	265
4b1y	-37.49	14.76	16.63	394
3zet	-37.31	29.69	26.77	563
3zeu	-37.31	18.84	18.2	1134
4l67	-37.07	72.96	92.07	309
4hdo	-36.78	23.07	20.49	473
4iyp	-37.23	84.71	85.38	317
4ic7	-36.34	90.72	84.72	942
4bqd	-53.09	40.86	29.34	181
4awx	-35.96	47.61	42.93	315
4iop	-52.36	97.93	87.69	238
4bfi	-35.51	93.31	73.31	393
4gu0	-34.99	77.57	98.28	3019
4fq0	-34.59	91.22	83.12	522
4c5g	-34.17	37.21	29.5	471
4kt5	-34.01	57.11	46.2	311
4dx8	-33.71	102.77	72.27	1019
4j32	-50.76	25.29	25.51	258
3zkq	-50.92	30.92	24.04	489
4hh3	-33.6	30.57	25.6	711
4jeu	-50.54	97.91	83.16	783
4jo6	-50.32	28.74	36.56	531
4gko	-16.12	150.48	143.8	1987
4h2w	-32.89	33.45	54.99	744
4gaf	-67.04	54.17	56.78	458
4hsa	-49.78	104.44	90.62	965
3vep	-28.47	53.26	47.14	458
4asw	-39.95	9.52	11.24	239
2m04	-45.66	19.82	18.22	199
4hem	-45.66	29.61	26.21	755
2m49	-28.54	3.25	3.04	434
4geh	-45.27	35.53	35.49	530
4c99	-39.63	86.2	81.01	514
4h5s	-27.99	17.7	15.57	196
2m0j	-45.21	0.0	0.0	176
4jeg	-45.21	34.55	26.5	207
2lz6	-28.09	9.14	8.8	136
4llo	-27.85	41.07	39.37	1143
4jw3	-33.33	76.73	61.0	416
4je4	-44.83	19.15	16.59	195
4jzw	-61.71	35.66	34.33	723
4kgg	-38.9	45.37	39.19	608
4j6g	-44.45	41.87	39.04	603
4kr0	-44.39	53.32	49.76	936
4hgm	-44.5	67.06	39.16	581
3znz	-38.29	31.43	25.72	412
4ios	-44.07	54.28	51.39	861
4eig	-51.37	45.13	31.34	276
4hrl	-51.37	33.02	27.56	331
3w8i	-49.47	35.35	33.05	251
2m86	-49.0	0.0	0.0	134
4glv	-48.71	26.76	21.4	941
4iu3	-43.84	24.84	17.27	443
4bru	-38.24	104.78	136.84	404
4aoq	-38.21	11.64	10.9	773
4i6l	-43.94	42.16	35.78	292
4h2s	-26.64	31.65	60.86	699
4ekc	-43.71	141.14	138.65	890
4ekd	-43.71	111.37	105.61	450
3wa5	-43.1	16.3	9.43	520
4c9b	-43.07	43.5	43.63	666
4jra	-43.11	41.82	40.82	1005
4bsr	-49.65	66.78	61.38	1170
4h3p	-32.53	44.92	67.3	713
4ng2	-31.36	53.01	41.63	1368
4g01	-31.21	31.76	23.75	402
4k81	-31.07	66.94	61.5	1660
4jw2	-48.13	47.97	43.25	263
4hep	-37.23	40.16	33.64	292
4gn5	-42.85	25.77	21.27	478
4ihl	-36.88	49.96	53.35	472
4gla	-25.41	62.87	53.36	436
2m55	-25.43	0.0	0.0	167
4kgq	-42.49	45.47	40.32	609
3v3k	-42.31	82.77	72.76	3238
4lad	-42.35	61.13	57.56	223
4hnj	-48.65	93.91	83.28	294
4eiz	-48.65	34.04	25.0	572
4euk	-30.75	40.48	33.69	288
4b1x	-30.61	36.9	38.77	385
4gn3	-30.46	32.57	31.64	2104
4kjy	-59.27	47.01	31.73	456
3zo0	-36.3	36.73	33.26	388
4i0c	-36.17	24.58	21.73	513
4krl	-41.83	33.74	24.76	327
2m5a	-41.77	0.76	0.54	116
4i9x	-46.94	52.61	48.0	572
4brw	-41.67	47.97	80.37	406
3vv2	-58.7	26.96	25.87	385
4kt1	-41.37	41.26	30.98	551
4ika	-24.2	57.28	76.74	482
2lww	-41.35	6.0	6.0	170
4ihh	-41.26	38.78	59.38	2336
4bkx	-30.26	53.76	54.61	530
4aor	-41.18	17.01	15.53	771
4iw4	-35.47	78.95	75.8	755
3wn7	-46.44	17.09	18.67	620
4jeh	-46.18	59.66	54.07	777
4ka2	-63.22	46.11	48.19	361
2m0g	-40.39	0.0	0.0	249
4j2l	-40.26	75.22	64.59	294
4dpg	-40.22	42.13	38.56	4148
4lqw	-22.98	22.25	20.56	625
4fza	-39.98	96.75	88.99	605
3vux	-28.8	29.77	27.7	327
2m5b	-28.54	37.96	37.72	188
3w6j	-41.39	67.58	60.26	956
4j2y	-51.69	36.4	32.67	388
4doq	-39.12	29.31	27.99	754
4bd9	-42.86	38.57	27.7	469
4ilw	-47.01	41.89	37.12	682
4nst	-35.18	42.83	44.86	1126
4bpk	-45.11	46.12	48.89	303
4plo	-42.35	42.11	20.64	604
4pbz	-41.67	61.65	53.79	408
4lgr	-56.84	29.65	21.56	375
4mit	-38.52	36.24	34.54	879
4m1l	-38.5	32.31	37.59	168
3wkt	-39.95	235.03	205.42	1618
4pz6	-38.11	66.84	78.22	755
4lgp	-55.01	45.12	42.77	753
4ml7	-54.61	17.56	16.56	455
4qt8	-37.4	53.55	52.45	1719
4jmf	-37.25	34.06	32.09	282
4peq	-89.6	20.34	18.18	1156
4pc0	-38.24	33.98	36.81	846
3wry	-37.15	42.9	34.75	1705
4pl8	-37.07	31.48	40.32	726
4qxa	-37.07	56.81	38.19	319
4p1n	-36.78	66.08	65.78	497
4nqw	-36.4	32.4	25.52	221
4r8g	-36.01	106.31	95.16	748
4lrz	-35.96	46.46	42.38	2017
4ofy	-35.5	94.45	74.97	1905
4kdi	-35.1	46.79	42.72	463
4kvg	-35.13	29.6	24.65	818
4cmm	-34.8	38.62	36.38	236
4mrt	-34.45	28.69	28.33	302
4nso	-51.42	52.04	42.15	285
4byf	-34.51	59.17	53.22	1690
3wdg	-50.92	13.02	14.32	326
4pqt	-34.01	30.64	24.56	261
4u0q	-34.01	50.95	46.54	933
4cu4	-33.79	55.02	63.07	714
4re1	-33.79	49.89	50.35	505
4w6y	-50.24	22.59	20.04	274
3wkn	-50.2	49.08	45.9	2010
4qlb	-33.08	58.26	71.03	2725
4kv5	-50.05	67.44	62.72	1366
2mcn	-32.66	10.0	10.0	133
4cdk	-32.66	84.1	67.29	1040
4k1r	-28.49	20.59	17.71	531
4k5a	-45.59	17.73	14.59	325
4q96	-22.51	24.66	20.0	551
4cj2	-45.43	26.29	24.85	381
4pas	-39.37	14.58	13.23	74
2ru4	-39.38	37.31	35.99	199
4m38	-28.09	19.72	22.9	674
4m5f	-62.04	40.69	29.57	523
2mbb	-22.18	0.0	0.0	114
4p3y	-39.02	46.1	56.69	567
4ons	-44.53	79.93	59.16	552
4pou	-38.84	19.52	15.78	240
4lrx	-27.53	68.43	67.98	1302
4n7z	-38.54	45.48	46.13	248
2mej	-27.22	0.32	0.35	339
4d0n	-27.07	32.14	24.36	550
4v2c	-27.08	111.61	111.81	858
4myw	-44.06	82.02	77.99	1070
4bwq	-26.86	23.52	16.7	635
2mre	-26.95	0.0	0.0	112
4per	-85.62	30.55	34.31	567
4u2x	-51.37	78.89	70.38	1162
3wrx	-32.41	32.95	30.64	1699
4pbv	-32.08	57.19	55.46	1095
4u5w	-31.85	36.35	24.57	550
4ra0	-66.03	92.34	84.55	1145
4c4k	-31.78	38.95	37.14	191
4mqv	-31.61	30.54	28.65	182
4mjs	-43.75	52.55	41.48	2060
4oyd	-55.12	28.57	23.82	548
4ojk	-26.58	68.92	69.31	404
2mnu	-37.89	0.0	0.0	119
2ruk	-26.35	0.0	0.0	128
4bxl	-37.78	0.59	0.6	114
4nl9	-37.69	21.92	18.6	248
2mp0	-9.14	0.0	0.0	398
4nzl	-43.39	26.03	19.18	314
4ct0	-43.11	70.23	70.06	582
4x7f	-43.11	32.01	32.58	836
4p6i	-37.31	55.55	50.81	1291
4w6w	-48.21	32.86	39.05	265
4x7d	-48.26	39.9	39.16	840
4u4c	-37.15	63.89	57.96	980
2mak	-20.03	38.85	38.4	210
4lyl	-42.86	25.04	24.25	2440
4n7v	-42.78	49.95	36.11	477
4v0o	-36.86	27.09	9.98	1938
4v0n	-36.86	52.67	36.47	1927
4qzv	-25.38	47.35	47.61	1870
4msm	-31.52	25.3	21.55	524
2mj5	-30.63	10.0	10.0	128
4ol0	-47.53	73.66	73.75	1074
4noo	-47.42	20.46	14.89	578
4ovn	-41.88	92.49	84.64	1373
4pp8	-36.03	49.42	49.96	546
4cj1	-41.77	18.18	13.59	607
4lzx	-47.35	15.24	10.61	182
4w6x	-47.26	31.36	24.61	267
2mfq	-30.16	0.0	0.0	137
4lxr	-46.97	46.04	36.57	885
4nzw	-35.94	66.66	65.66	575
4pbw	-35.72	116.36	104.82	1359
4js0	-30.26	29.36	35.99	207
2mjw	-29.72	0.81	0.98	390
3wwn	-29.56	35.33	43.31	317
4m0w	-29.53	17.74	14.43	393
4ln0	-46.62	25.7	22.51	457
4k5b	-52.46	23.79	24.73	601
3wo3	-40.87	78.34	73.31	2624
4m6b	-46.51	30.09	28.21	418
4x7e	-46.55	35.84	29.48	847
4mp0	-46.01	48.61	61.67	644
2mur	-28.73	0.0	0.0	122
