PDB_ID	Î”G_kJ/mol	Avg_Bfactor_Total	Avg_Bfactor_Interface	complex_count
4c2a	-45.74	45.49	42.62	468
4kfz	-40.11	75.41	68.01	548
4cj0	-40.0	12.03	8.81	594
4c2b	-45.92	90.06	87.96	1845
4l0p	-45.92	36.52	29.08	314
2mlz	-27.7	12.17	7.49	539
4c7n	-51.37	38.11	35.2	98
4q5u	-68.49	73.24	69.63	169
2mly	-32.53	11.3	7.5	582
4mne	-42.05	48.1	42.6	2179
2mlx	-30.81	12.53	7.51	523
4niq	-30.26	48.62	50.73	203
4u30	-39.16	29.79	23.29	1112
4u32	-36.65	12.82	9.52	278
4nm3	-24.1	54.81	45.6	376
4nu1	-24.1	74.87	65.67	375
4zgm	-55.49	29.2	27.1	128
4ywc	-37.73	58.52	52.58	402
5agw	-47.33	88.93	70.92	306
4zii	-42.7	59.74	60.84	176
4rws	-48.65	84.16	96.63	508
5bnq	-55.97	56.71	66.7	322
4yh7	-38.95	147.17	132.54	909
4wen	-39.95	51.7	42.21	374
4zkc	-55.12	102.37	110.54	277
4qlp	-55.01	15.13	13.33	374
4rwt	-37.89	50.36	56.23	1186
4zk9	-54.91	77.1	81.66	277
4x33	-37.68	24.64	23.85	384
4zi2	-36.4	37.63	32.48	615
5abv	-52.99	65.71	55.52	947
5dfw	-53.09	46.64	32.53	312
5d3i	-52.64	70.23	63.86	739
4yoc	-35.51	66.21	59.95	1411
4zgy	-35.13	83.43	81.81	508
2mzd	-34.57	0.0	0.0	115
2n2h	-34.43	0.0	0.0	152
5cff	-34.08	42.65	37.24	618
4xxb	-33.27	53.71	46.24	193
4xl5	-50.54	49.32	46.11	471
4zlt	-50.54	60.38	58.31	879
4y5o	-33.41	80.15	78.41	181
2mv7	-50.27	0.0	0.0	94
4yc7	-32.67	59.97	57.01	470
3wqb	-49.91	16.37	17.01	696
4d0g	-32.79	62.37	55.12	213
4rey	-39.76	52.17	55.29	218
4x7s	-45.66	53.94	48.08	440
4s0s	-45.34	92.4	80.58	726
5brm	-39.52	56.66	58.8	1054
5bn5	-28.3	42.99	37.19	965
4ui1	-39.42	54.79	50.72	353
4z80	-45.21	19.68	24.95	995
4pw9	-27.79	38.05	44.07	446
5d1l	-39.1	29.02	28.64	257
2rvb	-39.06	0.0	0.0	156
4uyq	-61.95	22.42	18.93	217
4wwi	-44.62	69.4	61.43	755
2mro	-21.83	2.63	3.88	120
4zqu	-44.5	41.22	33.98	298
4yeb	-44.35	154.21	151.51	588
5d1k	-38.5	28.59	27.58	256
4ypi	-44.02	154.74	95.67	1500
2n01	-34.25	0.0	0.0	129
4zrk	-34.25	62.51	57.28	1258
5dob	-34.25	88.94	86.0	402
4yvq	-32.49	48.57	39.44	203
4ydh	-31.93	101.6	86.25	1014
4zgq	-31.97	106.79	89.05	374
4zrj	-31.61	23.18	26.29	379
4uyp	-61.07	16.43	13.88	436
5cmn	-38.0	118.55	99.01	2272
4rs1	-43.5	61.26	53.65	372
4zv4	-43.6	122.04	97.66	1105
5cyk	-37.69	89.7	70.83	804
4rjf	-37.68	24.68	25.03	816
4xlw	-37.57	145.33	126.43	1476
5ajk	-31.84	77.77	77.51	978
4pgj	-43.29	36.33	32.19	483
4xhu	-43.29	51.88	48.87	846
4pvz	-43.17	47.39	48.89	898
4yyp	-37.4	89.89	90.64	119
4yiq	-32.53	33.89	31.1	429
5e6p	-32.53	137.89	154.69	579
5aam	-48.06	86.14	88.93	646
4xl1	-37.2	53.82	45.29	676
4cvw	-60.06	25.06	29.2	1948
5a6w	-42.86	30.85	23.46	227
4wnd	-42.71	23.23	24.69	355
5ajj	-31.35	48.98	59.86	167
4tq1	-19.73	24.91	22.05	290
4y61	-36.81	109.56	86.1	626
4xkl	-25.16	27.38	22.05	217
5aoq	-47.87	59.78	69.27	640
4w4o	-47.81	41.54	40.53	683
4xvp	-47.81	118.51	111.8	1155
5aaw	-47.74	52.35	49.43	1941
4xwj	-47.67	38.4	32.32	236
5e3e	-42.17	22.32	20.51	622
2mws	-24.81	2.17	2.3	154
4pj2	-58.95	23.08	20.85	488
4yl8	-30.07	23.51	25.55	327
4d2g	-29.99	53.16	50.76	814
4weu	-29.93	61.39	54.23	710
5bw7	-41.56	65.6	63.45	582
4uem	-46.77	99.8	98.96	379
4wem	-29.49	33.94	23.37	369
4uf1	-29.43	53.55	55.61	157
4tq0	-29.46	29.22	24.16	852
4uwx	-29.46	26.56	29.83	495
2n1d	-41.22	0.0	0.0	226
5d1m	-41.14	25.99	25.78	256
4xoi	-29.32	45.4	39.23	772
4x4m	-45.98	182.92	181.85	1377
4yn0	-40.36	63.7	47.15	370
4ui0	-40.27	88.36	95.37	261
4yiz	-46.21	34.91	31.36	1289
5cxb	-45.87	63.41	45.46	817
5e7f	-45.9	78.77	79.69	764
4yj4	-45.69	18.45	17.38	164
5c3f	-34.8	23.93	24.48	170
5gpg	-50.71	18.2	24.36	202
5j57	-61.07	23.94	21.08	388
5hvf	-60.06	62.06	53.96	490
5hgg	-58.6	30.36	24.12	747
5eg3	-39.21	35.52	33.63	414
5hpy	-39.3	68.13	55.34	738
5jsb	-38.95	92.37	75.67	1602
5dcq	-38.5	29.04	30.29	1069
5lxm	-38.5	74.05	83.25	297
5eoa	-39.95	58.88	52.29	229
5j7c	-55.25	37.75	34.2	452
5ibw	-54.81	14.97	13.24	192
5cw7	-71.65	50.08	47.45	1203
5ifs	-55.36	45.25	38.2	1242
5eo9	-36.71	58.2	48.01	312
5li1	-36.12	26.28	27.01	351
5ays	-53.05	25.75	29.21	678
5cx3	-35.77	55.85	60.07	553
5sv3	-52.53	26.81	14.21	585
5hvg	-52.51	84.04	77.64	1042
5lxq	-35.35	70.28	78.7	602
5ep6	-35.06	28.73	26.32	163
5boz	-52.25	89.77	92.66	2289
5ctr	-34.56	106.37	75.5	1031
5jsn	-34.8	55.03	46.81	528
4xkh	-34.4	47.4	43.31	564
5k8q	-51.63	32.26	37.82	169
5kho	-34.51	96.82	82.59	541
5c4v	-34.01	41.04	36.65	856
5szk	-34.01	86.15	74.15	313
5chv	-33.26	59.34	42.5	910
5jg6	-33.08	27.63	26.49	279
5kov	-49.82	105.64	109.31	3263
5b78	-32.68	24.97	24.37	140
4zrp	-49.91	59.16	65.39	956
5fvk	-32.79	27.47	28.74	204
2n8j	-45.49	0.0	0.0	170
5b77	-28.35	30.25	25.67	140
5czf	-57.08	50.07	49.24	270
5et1	-39.79	22.74	22.25	708
5b75	-28.54	34.17	29.68	143
5dju	-45.34	36.95	31.95	400
5ft8	-39.56	69.8	74.25	4281
5g1x	-28.07	28.14	29.82	292
5inb	-39.44	16.74	18.18	326
5ius	-56.48	118.24	100.93	657
4z9v	-28.09	69.2	66.43	418
4rt6	-44.97	55.7	60.93	977
5ij9	-27.81	72.95	72.01	856
5eb1	-39.12	34.28	29.3	543
5fr2	-39.1	54.95	48.52	364
5hk5	-39.02	36.63	34.23	925
5e95	-44.54	15.08	10.44	260
5j8h	-38.9	0.0	0.0	175
5jlv	-44.66	44.51	40.75	1038
5djt	-44.35	20.45	15.98	203
5j28	-38.32	28.03	29.25	652
5ejc	-38.27	99.75	96.6	655
5lz3	-26.95	42.77	46.95	158
4z9k	-49.41	26.6	22.84	374
5tar	-32.18	37.37	43.1	332
5d50	-31.88	65.16	57.45	1670
5glh	-60.98	84.54	75.99	473
5f5s	-43.71	94.77	102.15	230
5szi	-37.65	101.17	84.15	314
5k22	-43.39	95.92	94.65	305
5ee5	-26.17	67.69	54.43	365
5d28	-43.2	60.95	50.32	688
5l8j	-32.53	35.49	30.4	358
5f3x	-48.56	77.4	70.13	530
5j56	-48.49	46.6	41.01	383
5fr1	-31.29	59.28	46.04	349
5eof	-30.94	41.67	36.33	232
2n73	-37.07	28.48	30.75	149
5hps	-37.05	51.27	47.68	447
5m72	-42.7	34.63	28.34	171
5dc4	-42.56	19.35	19.6	192
5kve	-42.56	25.98	19.35	331
5imt	-36.73	41.03	40.35	537
5elu	-36.43	22.44	18.89	166
5kwy	-36.34	55.92	51.15	709
5ip4	-36.22	30.48	28.36	383
5f4e	-41.77	71.93	61.55	442
5fzt	-24.65	37.83	30.85	329
4udm	-47.93	57.52	57.63	180
4xxw	-30.2	54.4	45.74	866
5dmj	-47.24	56.97	43.41	844
5b76	-29.89	37.39	32.41	144
5hlz	-47.38	69.64	59.97	1154
5jem	-29.8	62.76	61.25	977
5eql	-40.91	70.89	56.44	158
5fv2	-63.61	110.31	103.59	637
5jze	-29.26	24.45	22.15	469
5ij0	-29.12	74.92	73.27	856
5ixd	-40.82	97.35	80.13	441
5b64	-40.84	83.87	69.96	296
5j4a	-40.77	36.82	33.49	440
5ioh	-34.87	29.71	33.43	650
5imy	-34.87	62.96	56.45	1102
5szj	-17.71	77.78	65.86	320
5d3f	-29.08	75.1	71.42	461
5jyl	-46.01	44.11	38.99	645
5fw5	-40.51	40.66	32.85	294
5jmc	-40.33	58.46	57.26	2039
5lz6	-29.09	74.72	70.59	157
2nbv	-28.72	0.73	0.85	188
5lrw	-28.72	29.19	31.58	706
5hpk	-45.74	53.16	44.78	450
5jke	-40.19	86.68	74.55	870
5jtl	-35.96	74.3	84.88	1091
5jto	-28.3	37.99	37.83	780
5jtm	-27.53	37.61	37.35	720
5jtr	-31.97	37.58	36.89	780
5jtp	-25.1	37.65	37.31	708
5jtq	-30.81	37.62	38.5	704
5jtn	-29.09	37.37	37.24	730
5c67	-57.37	33.98	26.96	555
5jhw	-56.07	60.41	51.72	784
5gy2	-57.03	33.05	28.59	1221
5v62	-45.11	40.62	51.47	363
5t0f	-43.02	69.05	60.95	199
5nwm	-42.23	25.09	22.26	164
5jw9	-40.33	45.37	40.44	148
5gjk	-39.5	30.76	31.97	162
5m2j	-56.43	17.85	11.24	254
5u4m	-53.7	76.14	67.1	384
5nvl	-54.35	68.25	60.08	455
5omb	-36.34	51.12	50.07	440
6atk	-36.34	96.56	91.37	2898
5kxh	-36.01	22.63	26.07	388
5nvk	-53.64	54.02	49.71	955
5vx3	-53.64	36.51	42.97	657
5xeq	-53.64	74.64	58.52	817
5lp5	-36.52	61.61	39.91	1690
5m2i	-52.9	44.37	42.08	1612
5wy2	-35.77	51.93	47.08	329
5o2u	-52.29	43.03	35.88	377
5wrv	-35.03	34.83	28.61	177
5wb7	-34.93	91.94	84.83	2186
5ky5	-34.83	30.34	33.63	392
5wgg	-35.13	58.36	64.87	451
5o05	-51.89	40.46	34.81	847
5uk5	-34.77	94.91	83.88	493
5tvq	-34.56	106.35	84.37	328
5npo	-34.37	39.33	30.23	486
5tgh	-34.37	56.01	43.84	652
5mad	-51.13	43.44	43.9	1544
5lgk	-33.79	36.1	24.27	1432
5vwy	-33.6	26.19	18.38	177
5mv8	-33.41	43.92	37.38	599
5sxp	-33.1	20.0	17.83	282
5m2m	-50.36	45.74	39.26	1661
5xbf	-32.93	37.58	26.22	586
5iia	-49.9	52.83	48.68	922
5tp6	-49.78	1.13	0.75	177
5omm	-45.56	26.03	24.97	711
5nt7	-28.39	27.97	26.24	490
5uzu	-45.66	49.6	49.77	645
5vt9	-45.66	26.98	22.24	331
5ky4	-28.54	29.21	35.92	390
5lhn	-45.38	63.42	58.16	373
5mjy	-28.24	36.72	42.24	1477
5vkl	-39.65	45.4	56.95	221
5nus	-45.43	80.83	74.59	285
5un7	-39.5	39.71	40.3	363
5h7y	-39.4	38.77	32.98	299
5vwx	-44.67	50.78	43.44	340
5nvm	-44.83	68.68	53.18	407
5hyc	-27.5	55.75	55.07	277
5v5h	-38.82	29.51	29.78	241
5u4k	-27.53	33.06	34.36	120
5f5o	-38.76	32.87	33.64	1028
6ba6	-21.63	0.0	0.0	253
5o2t	-38.68	42.1	39.6	306
5nqf	-38.65	27.7	38.08	333
5tzq	-44.5	42.38	42.86	306
6amb	-27.11	54.59	54.26	249
5tl7	-15.57	64.38	57.61	781
5mfc	-44.2	99.87	89.39	1044
5un5	-44.2	76.34	66.51	417
5hu3	-34.25	49.18	43.48	281
5mv9	-34.25	75.26	73.16	600
5me5	-32.35	29.66	26.51	189
5gwp	-49.53	51.41	47.5	920
5x4l	-32.14	28.68	35.89	486
5swk	-31.91	32.0	24.93	370
5vx2	-49.1	46.56	40.03	347
5mn2	-31.88	80.28	74.98	518
5m36	-31.74	78.97	93.42	464
5h07	-31.68	54.56	38.16	367
5wb8	-31.69	53.29	58.92	1073
5ml9	-38.03	49.65	47.55	275
5v5v	-43.82	114.93	122.32	4266
5vx0	-26.7	24.38	26.83	377
5mtn	-43.54	79.67	67.91	182
5toj	-43.6	94.5	85.98	1823
5odw	-54.91	37.84	44.56	1904
5u4y	-43.39	52.61	40.02	527
5ua4	-43.29	39.71	31.82	167
5w8t	-26.07	84.42	72.87	792
5u52	-43.2	37.79	37.96	484
5y4r	-43.06	57.42	50.03	782
5mak	-60.15	63.12	54.08	1025
5ma5	-60.15	45.13	37.83	1039
5mk0	-31.44	30.86	43.4	753
5w3x	-31.23	42.62	44.22	817
5imm	-48.26	13.34	9.79	245
5ohp	-31.14	47.6	39.67	465
5l21	-48.13	35.55	31.73	544
5v52	-31.0	71.11	68.34	459
5x0w	-31.0	90.72	79.29	852
5my6	-47.94	49.03	34.35	671
5o2s	-48.0	84.14	80.2	1283
5ma6	-54.33	84.35	79.19	385
5gwo	-42.94	59.37	54.21	945
5tzp	-42.94	18.75	18.81	160
5mtj	-36.93	33.22	30.08	205
5oc7	-42.7	43.88	37.76	404
6azp	-42.55	41.96	42.69	633
5v69	-42.49	38.22	38.17	394
5wos	-36.83	58.14	54.23	159
5ma3	-59.48	42.45	37.42	529
5jds	-48.65	25.55	17.97	242
5y1z	-30.63	57.81	54.08	874
5xjg	-30.51	47.41	41.57	1038
5wuj	-36.38	39.22	32.98	142
5v5i	-36.15	38.83	34.1	471
5gtb	-24.76	46.98	46.48	153
5ohm	-58.95	126.41	107.5	980
5vko	-47.93	44.46	49.47	230
5tzn	-29.89	39.7	35.62	525
5ky9	-29.85	57.42	73.86	384
5ufe	-41.66	22.36	18.28	220
5nqg	-41.67	49.4	57.79	415
5ma4	-58.7	27.07	19.68	523
5v6a	-41.52	57.34	59.3	391
5nvn	-41.44	30.91	33.42	400
5tl6	-24.2	49.27	43.41	782
5oaq	-41.3	29.25	29.56	244
5ufq	-46.77	42.15	38.69	446
5ky0	-29.61	29.75	38.7	387
5o03	-41.22	63.24	66.55	887
5vcb	-41.14	255.91	275.47	2970
5twa	-40.98	19.55	15.03	369
5mtm	-46.55	68.33	64.09	200
5xsq	-46.42	57.53	55.2	1013
5lpu	-29.15	74.51	80.43	860
5xv8	-40.79	0.0	0.0	153
5vxz	-69.31	61.83	59.2	956
5o0w	-57.83	51.93	51.03	1985
6b12	-46.18	31.59	31.31	530
5xco	-45.95	18.97	19.1	189
5imk	-34.65	18.59	18.15	243
5vz4	-46.21	57.45	46.4	298
5jw7	-28.77	93.21	88.02	323
5jjd	-28.75	49.71	44.37	331
5omn	-45.79	68.22	62.69	425
5v5g	-45.92	44.28	42.9	488
5o74	-28.54	77.44	71.43	2126
5ovw	-51.52	102.72	106.58	2226
5uul	-47.48	22.01	21.05	175
5otx	-40.12	28.13	22.84	256
5w89	-45.11	31.31	29.48	158
5yqz	-47.9	128.65	115.84	586
6h6y	-55.87	25.98	24.15	1587
5g15	-38.64	34.3	32.35	353
5yir	-54.61	49.62	49.09	409
6mkz	-55.36	85.15	78.63	528
6hul	-37.23	54.45	53.21	657
5wpa	-35.73	57.61	53.24	479
6a7v	-52.64	39.47	38.84	795
6g04	-35.13	0.0	0.0	182
6ejg	-51.89	48.01	49.4	640
6ejm	-51.74	38.52	34.17	635
6h9n	-34.8	82.12	81.93	227
6fg8	-34.3	21.1	18.31	377
5z78	-34.51	39.35	41.67	517
5o90	-34.01	88.02	95.86	349
6co2	-33.79	41.65	32.87	596
5nqw	-50.54	111.08	101.75	668
6dcn	-33.41	57.81	60.44	330
6f9s	-33.05	71.3	62.93	210
5xda	-33.08	48.68	47.76	3732
6fv0	-32.9	66.16	52.97	384
5nzz	-32.93	61.05	69.99	2863
5yi8	-32.79	30.84	30.5	162
6b05	-32.66	38.05	47.05	944
6arq	-28.49	45.83	28.11	409
5w9a	-22.76	86.3	75.47	611
5oen	-45.66	42.54	41.92	336
5xqz	-28.03	41.35	37.61	504
6ff3	-44.9	60.9	64.41	247
6e3j	-44.83	26.56	24.33	173
6bxc	-45.01	68.45	54.58	1213
5xwt	-27.63	136.87	124.46	1447
6asr	-27.55	38.45	40.92	189
5uv8	-39.11	43.83	40.13	737
6bx5	-44.83	86.7	79.48	442
5nt1	-27.36	82.25	63.83	878
6fq0	-38.79	49.87	44.84	668
6aaf	-38.77	78.19	88.18	134
5uwc	-44.23	71.29	64.36	365
5nl1	-38.58	68.92	62.77	991
6e2p	-26.99	106.3	114.28	938
5yc5	-38.5	55.54	58.85	595
5xln	-31.99	29.55	25.41	191
6isc	-32.08	45.91	36.39	337
5vu0	-49.1	47.97	45.94	596
6i3f	-43.91	43.68	39.06	758
6fc3	-43.94	30.88	24.09	219
6b8n	-38.11	61.51	52.7	878
6bx4	-38.11	74.7	70.53	438
5mr4	-38.0	54.26	40.43	766
6gbu	-37.7	150.17	161.06	473
6imf	-43.49	35.73	30.29	295
5xiu	-26.27	20.06	22.84	120
5ydr	-26.13	44.11	49.15	398
5xod	-43.1	60.94	63.42	215
5xnp	-37.39	132.97	130.12	1304
6fub	-43.02	20.98	15.77	174
6fuz	-31.37	113.2	115.72	379
6e3i	-48.48	31.52	27.52	173
5oy9	-30.97	156.4	160.42	446
5yip	-48.13	37.6	39.85	146
6gd5	-48.06	0.0	0.0	138
6bmt	-37.15	56.77	57.7	643
6fc2	-31.21	50.09	46.78	475
5kof	-25.26	61.77	72.11	963
5ywr	-42.29	23.03	17.0	237
6fp7	-48.65	33.83	28.63	388
5yis	-47.81	44.66	42.68	274
6bw9	-47.7	17.77	12.73	440
6h6z	-47.6	48.38	45.98	824
6fu9	-47.53	22.44	18.21	329
6f3z	-36.49	47.16	44.08	831
6bxa	-42.23	64.45	68.26	1268
6gbg	-36.41	71.9	66.43	431
6h71	-42.02	57.76	55.46	812
6fgo	-36.28	65.16	57.63	1094
5vzm	-24.61	0.0	0.0	187
6fhp	-41.77	23.6	23.58	805
6g10	-46.97	22.89	20.94	230
6dsl	-53.09	0.0	0.0	151
6aw2	-41.35	63.74	55.68	460
5n48	-47.38	22.79	21.41	534
6mgp	-35.2	69.93	63.48	885
6gbh	-40.87	94.22	88.62	852
5oyl	-29.25	53.32	38.39	455
5yr0	-29.22	22.97	19.92	92
6fud	-40.73	21.83	16.28	158
6eg1	-23.49	55.51	44.31	1029
6eg0	-23.46	69.32	63.02	510
5n47	-46.55	99.36	78.6	1268
6cbp	-29.42	38.04	28.7	265
5mr5	-40.51	32.35	24.84	592
6a3v	-40.34	59.21	54.26	3342
5vmo	-34.54	29.3	27.09	139
5xoc	-29.09	71.52	57.28	327
6d13	-45.84	98.67	86.91	433
6fe4	-45.76	119.71	114.7	940
6ch3	-28.54	78.73	62.96	486
6ch2	-25.9	99.79	93.73	1426
5mrv	-30.94	27.11	27.07	667
6gfi	-53.12	82.0	70.78	560
5zvm	-39.83	112.85	98.43	309
6oao	-51.88	87.5	81.44	3080
6d68	-39.4	67.27	60.09	463
6oan	-49.16	79.83	61.32	959
6d4p	-42.74	57.04	50.26	223
6dgf	-47.51	30.29	27.73	406
6sak	-42.86	57.69	58.84	729
6f0g	-41.44	38.41	38.07	356
6cwg	-57.03	79.86	74.87	775
6jb8	-56.45	28.86	23.89	254
6j4s	-38.79	42.84	44.71	282
6q69	-38.64	71.84	69.28	341
6f0f	-38.5	39.7	36.17	183
6ird	-38.11	28.72	28.43	434
6dld	-54.91	123.34	96.77	1056
6p7s	-54.91	49.34	49.85	1107
6n85	-37.78	58.45	48.37	796
5zqv	-37.59	118.3	151.86	1258
6jcs	-37.34	39.67	30.24	613
6ndz	-55.36	73.5	61.95	931
6u2h	-54.12	95.81	87.48	1009
6j7w	-54.35	58.84	51.8	311
6p7y	-52.81	63.67	66.16	1133
6kbm	-35.51	49.58	36.66	527
5z2w	-35.24	84.61	63.65	244
6j56	-35.24	30.99	26.68	276
6r2g	-69.18	51.02	42.38	184
6gho	-34.8	46.76	43.36	400
6iu7	-51.63	36.4	29.95	444
6mud	-34.2	74.12	66.29	275
6c83	-34.25	73.5	73.59	634
5zo2	-34.01	65.37	66.49	589
6og4	-50.74	32.0	26.25	197
5z7l	-33.79	32.99	31.04	305
6gum	-33.79	37.42	32.95	266
6in9	-33.79	30.77	28.36	628
6ne2	-50.72	23.17	20.13	312
6kbn	-33.31	101.19	95.02	1044
6ne1	-50.54	74.89	66.03	278
6ne4	-50.2	28.48	24.81	313
6uys	-33.08	29.72	28.11	166
6moe	-49.79	68.17	57.35	755
6o3o	-32.79	62.3	52.39	993
6m7l	-28.44	73.21	74.39	792
6ire	-45.52	119.17	115.37	416
6fpg	-39.91	40.38	38.46	1675
6h47	-45.66	30.94	26.01	304
6i07	-45.66	94.8	66.12	904
6on9	-28.54	51.15	47.44	226
6ivu	-62.55	0.0	0.0	171
6o8b	-28.3	137.65	128.0	1336
6h15	-45.05	47.55	43.34	1462
6iwa	-39.38	58.57	59.58	454
6m9k	-28.09	32.01	28.5	873
6mba	-44.35	56.5	36.4	275
6iwd	-44.18	27.34	24.53	338
6j4o	-44.2	36.0	34.23	268
6jhw	-44.2	46.3	42.7	508
6mun	-34.25	0.0	0.0	267
5z7g	-32.47	62.67	55.45	305
6iua	-49.65	31.26	26.17	444
6gvk	-32.53	44.85	39.72	226
6uyu	-32.53	28.09	25.13	170
6qb3	-32.1	36.69	24.52	370
6cxl	-49.2	89.61	86.05	864
6fto	-49.0	37.05	36.21	207
6umt	-49.0	50.53	44.75	208
6jdj	-38.24	42.41	40.34	289
6j9l	-32.39	27.15	26.21	251
6k06	-37.92	36.46	32.3	448
6nrw	-26.47	53.66	47.01	424
6a6x	-43.31	43.2	45.45	351
6gjq	-43.39	50.61	49.19	1231
6im9	-43.39	70.27	69.97	577
6oqq	-43.11	50.49	62.66	1755
6jb2	-37.27	16.12	15.05	255
6pnp	-37.24	85.62	58.14	325
6osw	-32.53	0.0	0.0	79
6idx	-31.24	26.9	23.83	526
6ov2	-48.21	145.74	124.65	309
6n6r	-30.94	37.74	28.61	433
6f2g	-48.0	119.12	98.36	561
6obn	-42.91	61.8	57.91	1157
6mc9	-37.19	145.6	124.29	291
6h46	-42.94	35.44	32.17	324
6h16	-42.79	114.38	94.39	726
6iw8	-36.98	81.81	78.45	447
6fbx	-36.9	44.41	47.49	170
6gtq	-36.73	65.05	67.31	393
6f0h	-48.65	25.1	21.3	356
6her	-42.23	20.32	17.71	227
6s8s	-36.46	38.97	41.07	415
6j9h	-42.1	55.74	48.86	525
6oqk	-42.1	10.0	10.0	139
6gvl	-24.87	64.17	58.49	222
6pnq	-41.72	40.23	24.34	327
6thg	-47.93	152.11	140.7	2763
6km7	-30.16	30.79	34.54	691
6i2m	-47.23	73.24	79.52	539
6er6	-41.62	30.38	22.3	213
6ihb	-41.35	33.55	23.61	611
6k4k	-46.73	68.14	72.16	1686
6akm	-29.46	67.13	50.98	93
5zau	-41.22	10.0	10.0	121
6s29	-46.29	31.18	31.24	894
6mm6	-23.59	42.22	45.2	1037
6ere	-40.73	31.01	28.14	425
6jjw	-46.15	46.04	37.95	109
6kbr	-63.07	10.67	8.98	278
6j9m	-40.48	54.36	48.86	510
6jwj	-40.34	33.48	33.44	485
6plm	-40.23	64.52	76.86	1779
6czo	-40.24	65.76	78.66	628
6ib8	-40.11	30.88	37.0	594
6oqj	-45.92	15.0	15.0	139
6saz	-56.24	81.54	75.08	864
6ht9	-57.08	100.91	92.79	1015
6dwh	-55.36	32.52	23.61	2316
6bx8	-38.24	29.46	23.63	1113
6dwf	-50.72	25.9	16.39	2316
6n9d	-61.36	55.25	52.01	336
6mav	-59.79	77.56	69.46	335
6har	-58.3	18.96	15.12	278
